G06008300003023,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.38,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,1.32,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.88
G06008300003024,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,,1.32,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.54,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.84
G06008300003025,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,1.42,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.77
G06008300004001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,0.87,0.78,0.78,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.1
G06008300004002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,1.27,,0.98,0.88,0.88,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.74
G06008300004003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,1.11,,0.86,0.76,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,0.97,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.87
G06008300004004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,0.78,0.97,0.49,0.39,0.39,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48
G06008300004005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.53,0.49,0.68,0.19,0.29,0.29,,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008300005011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,3.11,3.01,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,2.02,,,,,,,,,,,,,,,,,,,,,3.89,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,2.56
G06008300005012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,2.0,,,,,,,,,,,3.44,,,,,,,,,,,,4.39,4.83,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.54
