,108190875,125604047,165777788,218125927,218128677,222561756,222663712,222663729,222663878,222688249,222695820,222773078,234742172,235418414,235418415,305787026,462636875,474267770,563066733,568436932,574636695,588194784,588608887,588991125,588991126,59777298,60822851,656616830,694801922,749936906,893435570,921532269,921543958,921912624,922786999,922787000
G06001700316005,1.76,,,,,0.48,1.61,1.74,1.6,0.23,2.26,,,,,,,0.84,,,,,,,,,1.11,,,,1.25,,,,,
G06001700317001,,,,3.3,8.55,,,,,,,,,,,,2.48,,,,,2.68,1.46,7.56,7.56,,,4.31,,2.47,,,,,,8.12
G06001700318001,,,,0.98,5.53,,,,,,,,,,,,,,,,,2.23,3.69,4.54,4.54,,,1.68,5.21,,,,,,5.23,5.1
G06001700318002,,,,3.94,2.88,,,,,,,,,,,,,,,,,5.55,6.66,1.89,1.89,,,5.0,2.56,,,,,,2.58,2.45
G06001700318003,,,,1.88,4.09,,,,,,,,,,,,,,,,,3.54,4.1,2.92,2.92,,,3.55,3.77,,,,,,3.8,3.67
G06001700319001,33.71,,,,,,33.87,33.97,,,34.02,32.76,31.91,27.65,31.99,,,,,,,,,,,18.05,,,,,33.94,,,,,
G06001700320001,22.5,,,,,23.96,22.66,22.75,22.65,24.27,23.16,,,,,,,24.11,,,,,,,,,23.15,,,,24.82,,,,,
G06001700320002,9.52,,,,,,9.69,9.78,,,10.19,8.57,7.24,8.34,10.86,,,,,,,,,,,16.5,,,,,11.85,,,,,
G06001700320003,13.05,,,,,14.52,13.22,13.31,13.21,14.83,,11.48,10.57,,,,,14.66,,,,,,,,,13.71,,,,,,,,,
G06001709900000,15.4,,,,,16.86,15.57,15.66,15.55,17.17,16.07,,,,,,,17.01,,,,,,,,,16.05,,,,17.73,,,,,
