,147177860,147177867,147177890,207627971,264573794,354190914,423508548,423508549,426411279,44388759,44388762,44388766,44388808,44388899,44388937,44388979,44389025,44389215,44389494,462623815,520162941,583551901,596623657,596677278,596677279,596678804,597047829,597047832,597047835,597047838,597047841,597047843,597047849,597530231,597530232,600876234,601764467,601764468,601787912,601834392,602680103,602680426,603094233,603472554,604039643,604039651,604039655,604039659,604039665,604039667,604039670,604039674,604039829,604756742,604756747,604756984,604756985,604756986,604760621,605352310,605356090,605689466,607116291,607116292,607116300,607116314,607119148,607119158,607164854,610328247,610328248,610328250,631052544,631052546,632245719,632245722,632245723,632245724,7876253,7876318,7876319,820892817,826346605,826346607,826346608,826787855,826787915,826787917,888264702,HD10
G06002500111001,8.91,,8.6,,,,,,,,,,,7.64,,,,8.68,,,,,,8.6,8.78,8.03,,,,,,,,,,8.15,,,8.96,,,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500111002,,,,,,,,,,,,,,,,,,,,,,,5.89,,,,,,,,,,,6.1,6.1,,,,,6.02,,,,,,,,,,,,,5.87,,,,,,,,,,,,,,6.43,6.3,,6.54,5.95,5.95,,,,,,,,,,,,,,,,,,
G06002500111003,,7.89,7.78,,,,,,,,,,,,,,,,,,,,,,,7.33,,,,,,,,7.91,,,,,,7.83,,,,7.48,,,,,7.99,7.92,7.94,,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500112011,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,2.34,,2.55,,,1.63,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,2.42,2.3,,1.33,0.72,0.72,,,,,,,,,,,,,,,,,,
G06002500112012,,,,,,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,1.63,,,2.01,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,1.49,1.62,,1.23,1.58,1.58,,,,,,,,,,,,,,,,,,3.39
G06002500112021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.15,,1.36,1.4,,0.82,,,,,,,,,,1.16,,,0.78,,,,,,1.36,,,,,,,,1.23,1.11,,,,,,,,,,,,,,,,,,,,,,
G06002500112022,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,1.97,,2.18,,,1.27,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,2.05,1.93,,1.44,0.87,0.87,,,,,,,,,,,,,,,,,,
G06002500112023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.47,,1.68,,,0.77,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,1.56,1.43,,1.22,0.86,0.86,,,,,,,,,,,,,,,,,,
G06002500113001,,,,,,,,,,,,,,,,,,4.03,,,,,,4.33,3.99,,,3.78,3.71,3.45,3.64,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,,,,,,,,,,,,4.12,,,,,,,,
G06002500113002,,,,,,,,,,,,,,4.04,,,,2.5,,,,,,2.8,2.46,,,,,,2.11,2.16,,,,3.24,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,2.6,,,,,,,,
G06002500113003,,,,,,,,,,,,,,5.78,4.83,,,4.38,,,,,,5.09,4.75,,,,,,,,,,,5.51,,,,,0.2,0.06,,,,,,,,,,,,,,,,,,4.91,,,,,,,,,,,,,,,,,5.09,,,,,,,,,,,,,
G06002500113004,,,,,,,,,,,,,,6.45,4.13,,,5.05,,,,,,,5.43,,,,,,,,,,,,,,,,0.49,0.64,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,4.52,4.4,4.4,,,,,,,,,,,,
G06002500114001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,0.7,0.74,,1.4,,,,,,,,,,,,,1.13,,,,,,,,,,,,,0.59,0.57,0.69,,1.69,,,,,,,,,,,,,,,,,,,,
G06002500114002,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.44,,,,,,,0.71,,,,,,,,,,,,,0.65,,0.46,0.39,,,,,,,0.14,,,,,,,0.76,,,,,,,,,,,,,0.13,,,,,,,,
G06002500114003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,0.2,0.19,0.13,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.2,0.44,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500115001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.17,,0.38,0.42,,,,,,,,,,,,0.32,,,0.2,,,,,,0.38,,,,,,,0.92,0.51,0.39,,,,,,,,,,,,,,,,,,,,,,
G06002500115002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,0.91,0.95,,0.06,,,,,,,,,,,,,0.33,,,,,,0.91,,,,,,,1.45,0.78,0.65,,,,,,,,,,,,,,,,,,,,,,
G06002500115003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.26,,0.47,0.51,,0.55,,,,,,,,,,,,,0.41,,,,,,0.47,,,,,,,1.01,0.34,0.21,,,,,,,,,,,,,,,,,,,,,,
G06002500115004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.67,,0.88,,,0.4,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,0.75,0.62,,0.38,0.99,0.99,,,,,,,,,,,,,,,,,,
G06002500116001,0.57,,0.38,,,,,,,,,,,,,,,,,,,,,0.37,0.71,0.85,,,,,,,,,,0.44,,,0.39,,,,0.52,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,
G06002500116002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,0.0,0.2,0.27,0.26,,,,,0.2,0.2,0.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500116003,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.68,0.44,0.44,0.44,0.5,0.3,0.37,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500116004,0.64,,0.83,,,,,,,,,,,,,,,,,,,,,0.42,0.26,,,,,,,0.95,,,,0.88,,,0.46,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,0.39,,,,,,,,
G06002500117001,,,1.7,,,,,,,,,,,1.84,,,,0.27,,,,,,0.97,0.63,,,,,,,1.07,,,,1.4,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,0.77,,,,,,,,
G06002500117002,0.98,,0.93,,,,,,,,,,,1.37,,,,0.75,,,,,,0.42,0.6,1.38,,,,,,,,,,0.63,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,
G06002500117003,1.22,,1.39,,,,,,,,,,,1.63,,,,0.06,,,,,,0.66,0.32,,,,,,,,,,,1.1,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,0.71,,,,,,,,
G06002500118011,1.29,1.35,0.97,,,,,,,,,,,,,,,,,,,,,1.49,,0.41,,,,,,,,,,1.05,,,1.47,,,,1.47,1.0,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500118012,2.16,,1.85,,,,,,,,,,,0.89,,,,,,,,,,1.86,2.03,1.29,,,,,,,,,,1.4,,,2.21,,,,,1.88,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500118021,,0.86,0.6,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,0.97,0.19,,1.1,,,1.05,0.98,0.99,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500118022,1.33,,1.02,,,,,,,,,,,0.5,,,,1.08,,,,,,1.0,1.17,0.99,,,,,,,,,,0.57,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,
G06002500118023,0.61,0.68,0.3,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,0.7,,,,0.79,0.33,,0.92,0.92,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002500118024,1.06,,0.75,,,,,,,,,,,0.78,,,,1.19,,,,,,0.73,0.91,0.71,,,,,,,,,,0.28,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,
