,10722424,112866304,115430800,115430810,116926232,117963084,152680449,232584696,239211800,242770597,242770774,242772924,245275952,249373466,255397616,277774885,284443132,284443133,284443134,284443135,284602470,296951895,299617668,299618101,305655273,340702709,340703886,35378405,356319615,356386946,358992704,35923823,35969560,396057347,401547871,401547875,403559120,414049371,424639605,445259803,499506191,499506193,506809097,506809098,530135853,544099484,544282028,544724112,547595905,549965170,569161696,579985470,585783266,585783267,629196683,629196684,629310381,629323566,629380672,629380697,629793547,630097528,630097529,652090480,652090515,652096041,652473885,655475550,655482401,655482424,655488176,655488192,655488218,655488236,655543081,655724805,659781410,659826798,659852283,659852297,659857929,659984693,659984709,659998657,659998664,659999802,660010962,691148839,7858747,804739824,840703309,858358894,858358895,865485285,866522030,866714891,867561355,875864819,895991428,896082911,899650894,900054909,900613120,900888958,901105462,939438945,939438946,939438947,939444154,958547113,969912660,970134648,970187976,970223089,970223090,970223091,970223092,970223093,970223094,970672380,975033907,975103993
G06004101031001,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,1.43,0.87,,,,,,,,,,,,0.78,,,,,0.94,,,,,,,,,,,,,,,,,,1.78,0.75,1.8,1.91,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101031002,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,6.75,7.8,,,,,,,,,,,,7.35,,,,,6.26,,,,,,,,,,,,,,,,,,7.1,7.5,8.8,8.91,,,,,,,,,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101031003,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,3.38,2.92,,,,,,,,,,,,2.98,,,,,2.9,,,,,,,,,,,,,,,,,,3.74,2.04,3.85,,,,,6.64,,,,,,,,,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101031004,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,1.03,1.37,,,,,,,,,,,,1.28,,,,,0.55,,,,,,,,,,,,,,,,,,1.38,0.97,2.3,2.42,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101032001,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,2.15,0.39,,,,,,,,,,,,0.72,,,,,1.67,,,,,,,,,,,,,,,,,,,1.27,1.3,1.41,1.85,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101032002,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,0.83,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.4,0.51,0.96,1.46,2.86,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101032003,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,0.82,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.76,1.87,2.31,2.82,,4.54,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101041011,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,1.99,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.24,0.71,1.97,2.3,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101041012,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,1.53,1.87,0.78,1.07,2.18,2.51,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101041013,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,,,,,,,3.03,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.02,1.54,1.08,1.4,1.73,,,,,,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
