,166435596,166436530,195870835,221319847,222473836,223125608,223289015,223289016,237881575,250909848,294779081,305323076,310530911,32935535,32935760,35451682,35560444,37623738,444783776,444795487,444806139,444806750,464044699,473550865,477480658,480411836,481038146,481038440,481599042,481599050,481792976,481794537,481799727,482067952,482068034
G06001303740001,,,,0.45,,0.64,,,0.62,,0.96,,0.61,,,,,,,,,,,,,0.88,,,0.51,0.53,0.72,0.91,,,
G06001303740002,,,,0.68,,0.38,,,0.35,,0.7,,0.4,,,,,,,1.06,,,,,,,,,0.45,0.41,0.45,0.65,,,
G06001303740003,,,,0.45,,0.32,,,0.57,,0.92,,0.14,,,,,,,,,,,,,,,,0.24,0.18,0.67,0.87,,,1.09
G06001303740004,0.85,1.1,,0.14,,0.65,,,0.9,,,,0.49,,,,,,,,,,,,,1.11,,,0.37,0.32,1.0,,,,
G06001303750001,0.96,1.22,,0.31,,0.93,,,,,,,0.76,,,,,1.47,,,,,1.09,,,,,,0.52,0.46,,,,,1.13
G06001303750002,,,,0.56,,0.69,1.08,,,,,,0.52,,,,,,0.83,,,,0.8,,,,,,0.38,0.28,,,,1.1,0.84
G06001303750003,,,,0.63,1.24,,,,,,,,0.88,,,,,1.23,0.97,,,,0.96,,,,0.96,,0.73,0.67,,,,,1.01
G06001303760001,1.59,,,1.59,1.28,,,,,,,,,,,,,0.3,1.01,,,,1.1,,,,0.99,0.89,,1.77,,,,,1.46
G06001303760002,,,,,0.64,,1.51,,,,,,,,,,1.21,1.11,0.33,,,,0.72,,,,0.1,0.29,,,,,,1.25,1.09
G06001303760003,,,,,0.73,,,,,,,,,,,,0.84,1.05,0.47,,,,0.45,,,,0.47,0.72,,0.83,,,,0.78,0.62
G06001303760004,,,,,0.64,,,,,,,,,,,,0.95,0.75,0.37,,,,0.47,,,,0.36,0.62,,1.13,,,,0.98,0.82
G06001303770001,,,,,,0.69,0.65,0.69,,,,,0.66,,,,0.75,,,,,,0.51,,,,,,0.85,0.75,,,,0.7,0.43
G06001303770002,,,,,0.52,,0.63,0.68,,,,,,,,,0.59,,0.65,,,,0.26,,,,0.87,,,0.87,,,,0.53,0.27
G06001303770003,,,,,0.36,,0.75,0.8,,,,,,,,,0.53,,0.44,,,,0.05,,,,0.67,0.7,,,,,,0.49,0.33
G06001303770004,,,,,0.2,,1.09,,,,,,,,,,0.78,1.17,0.27,,,,0.3,,,,0.35,0.36,,,,,,0.83,0.67
G06001303770005,,,,,0.52,,,,,,,1.32,,,,0.88,1.09,0.97,0.52,,,,0.61,,,,0.56,0.27,,,,,,,0.98
G06001303780001,,,3.39,,4.2,,,,,,,3.31,,,,3.74,4.52,2.87,3.89,,,,4.04,,,,3.93,3.64,,,,,,,
G06001303780002,,,1.31,,2.46,,2.63,2.59,,,,1.29,,,,1.14,2.5,,,,,,,,,,,2.29,,,,,,2.56,2.71
G06001303790001,,,,,,0.71,0.61,0.65,0.93,0.56,,,0.69,,,,,,,,,,,,0.76,,,,0.91,0.81,1.02,,,,
G06001303790002,,,,,,0.9,0.4,0.45,,0.93,,,0.87,,,,0.53,,,,,,0.79,,,,,,,1.0,,,,0.47,0.43
G06001303790003,,,,,0.63,,0.26,0.31,,,,,,,,,0.21,,0.93,,,,0.53,,,,1.15,1.18,,,,,,0.16,0.27
G06001303790004,,,,,0.33,,0.78,0.83,,,,,,,,,0.47,,0.63,,,,0.64,,,,0.67,0.68,,,,,,0.52,0.58
G06001303800001,,,,,3.86,,3.95,3.9,,4.52,,,,,,2.91,3.82,,,,,,4.03,,4.76,,,,,,,,,3.87,4.12
G06001303800002,,,,,,,,,,3.73,3.95,,,2.93,3.33,,,,,3.66,2.8,2.46,,,3.4,,,,,,,3.9,3.69,,
G06001303800003,,,,,1.54,1.84,0.67,0.62,,1.03,,,,,,,0.97,,,,,,1.43,,1.35,,,,,,,,,0.92,1.08
G06001303810001,,,,,,0.83,,,0.57,,0.22,,,,0.75,,,,,0.37,1.37,,,,0.94,,,,,,0.47,0.27,0.65,,
G06001303810002,,,,,,,,,1.19,,0.95,,,0.95,0.31,,,,,0.51,1.03,,,,0.89,,,,,,1.1,0.9,1.51,,
G06001303810003,,,,,,0.8,,,0.55,0.97,0.69,,0.82,,0.76,,,,,0.47,,,,,0.66,,,,,,0.48,0.64,,,
G06001303810004,,,,,,0.36,,,0.46,,0.8,,0.53,,,,,,,1.0,,,,,1.28,,,,0.87,0.81,0.55,0.75,,,
G06001303810005,,,,0.62,,0.23,1.05,,0.53,1.06,,,0.21,,,,,,,,,,,,,,,,0.42,0.36,0.62,,,,0.82
G06001303820001,,,,,,,,,,,1.07,,,0.61,0.24,,,,,0.66,0.81,1.05,,,0.69,,,,,,1.22,1.02,1.22,,
G06001303820002,,,,,,,,,,0.78,0.86,,,0.79,0.39,,,,,0.61,0.68,0.81,,,0.46,,,,,,,0.81,1.42,,
G06001303820003,,,,,,,,,,1.45,1.67,,,0.39,0.94,,,,,1.27,0.32,0.45,,,1.13,,,,,,,1.62,1.63,,
G06001303820004,,,,,,,,,,2.05,2.29,,,1.27,1.66,,,,,1.99,1.13,0.8,,,1.73,,,,,,,2.24,2.11,,
G06001303830001,,,,,,,,,,1.97,1.81,,,0.86,1.37,,,,,1.78,0.96,1.1,,,1.65,,,,,,,1.86,1.44,,
G06001303830002,,,,,,,,,,2.31,2.35,,,1.49,1.91,,,,,2.24,1.38,1.05,,,1.99,,,,,,,2.4,1.98,,
G06001303830003,,,,,,,,,,2.35,2.58,,,1.55,1.95,,,,,2.28,1.42,1.08,,,2.03,,,,,,,2.53,2.29,,
G06001303922002,3.17,3.26,,3.85,,,,,,,,,,,,,,4.11,4.42,,,,,,,3.67,4.41,4.68,4.14,4.09,,,,,
