,120650951,120651117,120651164,120652982,120653487,120653492,120653588,120653938,166307902,166317560,166318235,167646752,199460935,199460950,202063630,202063631,202063632,202063637,202063659,202063664,202063703,202063823,202064297,227216708,23646951,23646969,23647470,24429267,24429342,246355854,246367741,246374055,246505339,249414359,25155286,25178270,25178292,25203727,25207198,25366892,25400206,254084682,254569247,254569250,256261740,268198707,270124366,270163691,270510800,270513457,270513472,270513483,270513959,28310693,28310821,291993697,303264201,305748245,32500740,32501832,32515601,32560940,32615084,32656696,32656765,331475334,33794967,339104739,339104740,339104741,34686114,37012286,37012379,37012520,37012558,386422937,391848109,394808949,397850200,398996496,403387687,40905762,40905782,40905785,410980081,412588395,413048507,413048754,45210694,45212573,479820274,55462239,5927371,660072821,660082740,686736411,694214837,738282145,738282146,761409135,785984853,825257996,90489925,925603925,931619005,HD4
G06011300104013,,,,,,,,,,,,,,,,,,,,,12.36,,11.17,,,,,,,,,,,,21.54,,,,23.71,,,,,,,,,,,,,,,,,,,,11.63,11.64,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,4.49,,,9.18,,,,
G06011300104021,6.2,6.11,,,,,,,,,,,,,,,,,,,5.05,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.33,3.63,,,,,,,,,,,7.14,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52,,,,
G06011300104022,4.61,4.52,,,,,,4.95,,,,,,,,,,,,,3.46,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.74,1.41,,,,,,,,,,,5.55,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06011300105011,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,,,3.63,3.2,,,,,2.61,,,3.35,,,,,,,,,,,,3.35,3.07,,,,,,,,,,,,,,,,,,2.82,2.84,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,,,
G06011300105012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.73,1.73,,,,,,,,,,,1.68,,,1.63,,,,,,,,,,,,,,,,,,1.85,1.41,,,,,,,,,1.73,,,1.66,1.37,,,,,,,,,,,,,,,,
G06011300105051,,,,,,,,,,,,,,,,,,,,,,,,,3.93,,2.82,,,,,,,,,3.12,3.62,,,,,,,,3.4,,,,,,,,,,,,3.4,,,,,,,,,,4.0,,,,,,,,,3.37,,,3.66,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,
G06011300105052,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.06,,,,,,,,,4.75,,,,,,,,9.9,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,,7.07,,,,8.63,,,3.47,,,8.52
G06011300105053,,,,,,,,,,,,2.76,,,,,,,,,,,,,,1.98,,1.51,2.0,,,,,2.43,8.06,,,1.37,,,,,,,,,,,,,,,,2.15,,,,,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,
G06011300105081,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,1.93,2.43,,,,,,,,2.21,,,,,,,,,,,,2.21,,,,,,,,,,3.58,,,,,,,,,1.37,2.74,,2.47,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,
G06011300105091,,,,,,,,,,,,1.1,,,,,,,,,,,,,0.94,,,,,,,,,,,,0.9,,,1.21,,,,,0.81,,,,,,,,,,,,0.81,,,,,,1.42,,,,,,,,0.94,,,,,,,,1.91,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,
