,130503947,131640755,131640977,153309100,154617571,196029542,239947392,28614009,28616328,28616333,28616784,28616791,28616799,31442770,343590278,343590281,387044581,41230822,462012765,462012770,462012780,462012781,535079712,538122166,541503579,60429424,616826318,616826319,626680369,628085614,628085617,654553398,654555502,673727667,683264115,711498727,721488936,722649609,722653940,724455928,760893459,866132003,866132881,868496534,868503345,868761284,8715080,942753165
G06004500111022,,,,,,,,,,,49.72,,48.77,,,,,,,49.99,49.42,49.42,,,,,,,49.85,,,,,29.12,,,,,,,,,,,,2.63,49.92,5.5
G06004500111023,,,,55.22,,,,,,,53.16,,52.21,,,,,,,53.43,52.86,52.86,,,,,,,53.29,,,,,34.96,,,,,,,,,,,,13.09,,15.96
G06004500112001,,,,,,,,38.59,38.12,37.61,,36.53,,,,,,37.17,,,,,,,,,,,,36.99,37.01,,,,,,,36.95,40.14,37.57,,,,,,,,
G06004500112002,,,,26.85,,,,,,,24.79,,23.84,,,,,,,25.06,24.49,24.49,,,,,,,24.92,,,,,4.29,,,,,,,,,,,,28.39,,27.7
G06004500112003,,,,23.8,,,,,,,21.74,,20.79,,,,,,21.99,22.01,21.44,21.44,,,,,,,21.87,,,,,1.16,,,,,,,,,,,,,21.94,
G06004500113001,,,,,,,,1.65,1.27,2.36,,2.64,,,,,,2.35,,,,,,,,,,,,1.99,1.94,,,,,,,2.27,1.87,0.99,,,,,,,,
G06004500113002,,,,,,,,,,,11.86,11.14,,,,,,11.45,11.26,11.59,,,,,,,,,11.45,10.46,10.41,,,,,,,10.75,,,,,,,,,11.38,
G06004500113003,,,,12.8,,,,,,,10.74,,9.79,,,,,,10.99,11.01,10.44,10.44,,,,,,,10.88,,,,,12.11,,,,,,,,,,,,,10.94,
G06004500114001,,,,,,,,1.78,1.32,0.22,,0.9,,,,,,1.56,1.2,,,,,,,,,,,0.39,0.44,,,,,,,0.59,,1.16,,,,,,,,
G06004500114002,,,,,,,,2.39,1.92,0.51,,1.47,,,,,,2.17,1.8,,,,,,,,,,,1.0,1.05,,,,,,,1.18,,1.77,,,,,,,,
G06004500114003,,,,5.68,,,,,,,2.76,2.14,,,,,,2.85,2.47,2.5,3.07,3.07,,,,,,,2.51,,,,,,,,,,,,,,,,,,2.45,
G06004500114004,,,,,,,,,,0.68,,0.42,,,,,,1.22,0.76,0.85,,,,,,,,,0.86,0.46,0.51,,,,,,,0.31,,,,,,,,,0.8,
G06004500114005,,,,3.63,,,,,,,0.67,0.18,,,,,,1.5,0.42,0.41,0.98,,,,,,,,0.42,,,,,,,,,0.72,,,,,,,,,0.36,
G06004500114006,,,,3.3,,,,,,,0.0,0.72,0.95,,,,,,0.73,0.27,0.43,0.43,,,,,,,0.44,,,,,,,,,,,,,,,,,,0.51,
G06004500115001,,,,,,,,1.85,1.39,1.55,,1.74,,,,,,1.03,1.75,,,,,,,,,,,1.15,1.1,,,,,,,1.39,,0.8,,,,,,,,
G06004500115002,,,,,,,,1.19,0.64,1.06,,1.37,,,,,,1.58,1.47,,,,,,,,,,,0.7,0.65,,,,,,,0.98,,0.44,,,,,,,,
