,163348416,163348418,163755246,165796007,165797937,177228755,179048964,179069430,179238219,179238220,200523432,232198966,232385663,281221369,295540703,297137669,297309624,297486652,297486827,297488206,303720214,393170636,393170640,404489035,41157479,414228506,414283664,414295984,420431652,426257036,456519543,461207303,461517448,461764828,461764829,471773647,471773658,471783069,471783073,477835113,479820556,480258766,480690138,495954740,521738406,521738417,521738418,521738419,532646121,575174953,585187059,585628874,585628875,589566126,62203167,62203478,62203658,62232486,62238217,62240098,62242840,62244864,632307395,632308005,685589105,700607855,700607857,70799844,70925027,739459889,739459900,740526469,798941237,83069708,83069817,838909472,883972799,954013199,954013209,96328169,973233930
G06009900002014,,,,,,,,,,8.54,,,,,,,,,,,,,,8.11,,,,,,1.35,,,,,,1.75,2.34,1.34,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,8.12,8.42,,
G06009900002015,,,,,,,,,,9.2,,,,,,,,,,,,,,8.77,,,,,,0.53,,,,,,0.91,1.44,0.66,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,8.78,9.08,,
G06009900002021,,,,,,,,,,9.23,,,,,,,,,,,,,,8.79,,,,,,0.23,,,,,,0.85,1.26,0.2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,8.81,9.11,,
G06009900002022,,,,,,,,,,8.76,,,,,,,,,,,,,,8.32,,,,,,2.14,,,,,,2.69,3.12,2.13,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,,,,,8.34,8.64,,
G06009900002023,,,,,,,,,,8.81,,,,,,,,,,,,,,8.37,,,,,,0.61,,,,,,1.17,1.59,0.6,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,8.39,8.68,,
G06009900002031,,,,,,,,,,10.36,,,,,,,,,,,,,,9.92,,,,,,1.0,,,,,,0.82,0.28,1.02,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,9.94,10.23,,
G06009900002032,,,,,,,,,,10.52,,,,,,,,,,,,,,10.12,,,,,,1.8,,,,,,2.19,2.2,1.67,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,10.14,10.4,,
G06009900002033,,,,,,,,,,9.89,,,,,,,,,,,,,,9.45,,,,,,0.5,,,,,,0.65,0.54,0.52,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,9.47,9.76,,
G06009900002034,,,,,,,,,,10.52,,,,,,,,,,,,,,10.08,,,,,,1.4,,,,,,1.78,1.39,1.27,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,10.1,10.4,,
G06009900002035,,,,,,,,,,12.65,,,,,,,,,,,,,,12.22,,,,,,3.3,,,,,,2.76,3.45,3.32,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,,,,,,12.24,12.53,,
G06009900003011,,,,,,,,,5.23,5.14,,,,,,,,,,,,,,3.66,,,,,,,,5.82,,5.98,,,,,,,,,,,,,,,,,,,,,4.48,,4.91,,,,,,,,,,,4.78,,,,,,,,,,4.44,4.79,,
G06009900003012,,,,,,,,,5.15,5.22,,,,,,,,,,,,,,3.58,,,,,,,,5.66,,,,,,,,,,,,,,,,,,,,,,,4.39,,4.75,,,,,,,,,,,4.63,,,,,,,,,5.5,4.57,4.9,,
G06009900003021,,,,,,,,,5.03,5.1,,,,,,,,,,,,,,3.46,,,,,,,,5.14,,,,,,,,,,,,,,,,,,,,,,,4.28,,4.23,,,,,,,,,,,4.1,,,,,,,,,4.98,4.45,4.78,,
G06009900003022,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,4.8,,,,,,,,,,,5.62,,,,,,,,,,4.25,,3.74,5.19,,,,,,,,,,3.61,,,,,,,,,4.41,5.08,5.42,,
