,12243174,127243699,139962217,184198433,186727461,259158442,269429649,28551317,285842331,301850353,302144588,302144591,460975283,460976026,461041054,474290885,474290894,474290895,474425441,474529272,474576147,475915316,475915317,539691268,544413576,545148263,546499677,577823410,595179956,602152529,602166925,657363284,673806745,744792459,84968563,84969018,85064987,85243499,85308860,85318806,85450504,85465037,85465948,85631934,951425104
G06000700004024,3.54,,,,1.94,,,2.32,3.12,,,,,,2.88,,,,,,,,,,,2.65,,,2.24,,,,,,1.83,3.46,,,,,,,,2.68,
G06000700005011,,2.89,,,,,3.3,2.43,2.85,,3.13,3.33,3.15,,,,,,,,,,,,,1.32,2.99,,,,,,,,,,,,,2.6,,,,,
G06000700005012,,2.28,,,,,2.69,1.82,2.24,,2.52,2.72,2.55,,,,,,,,,,,,,0.71,2.38,,,,,,,,,,,,,1.99,,,,,
G06000700005013,,1.82,,,,,2.23,1.78,1.81,,2.06,2.25,2.08,,,,,,,,,,,,,0.68,1.92,,,,,,,,,,,,,1.53,,,,,
G06000700005014,,1.69,,,,,2.1,1.23,1.65,,1.92,2.12,1.95,,,,,,,,,,,,,0.36,1.79,,,,,,,,,,,,,1.4,,,,,
G06000700005021,,1.41,,,,,1.82,1.51,1.4,,1.65,1.85,1.67,,,,,,,,,,,,,0.63,1.51,,,,,,,,,,,,,1.12,,,,,
G06000700005022,,1.2,,,,,1.74,0.95,0.0,,1.65,1.85,1.59,,,,,,,,,,,,,1.64,1.43,,,,,,,,,,,,,1.32,,,,,
G06000700005023,,0.94,,,,,1.34,1.18,0.93,,1.17,1.37,1.2,,,,,,,,,,,,,0.78,1.03,,,,,,,,,,,,,0.64,,,,,
G06000700005024,,1.25,,,,,1.08,1.49,1.24,,0.69,0.89,1.45,,,,,,,,,,,,,1.31,1.05,,,,,,,,,,,,,0.08,,,,,
G06000700006011,,2.09,,,,,2.48,1.73,2.2,,2.83,2.63,2.3,,2.48,,,,,,,,,,,1.36,2.48,,,,,,,,,,,,,,,,,,
G06000700006012,,1.61,,,,,2.0,1.25,1.93,,,2.15,1.82,,2.0,,,,,,,,,,,1.5,1.99,,,,,,,,,,,,,,,,,2.71,
G06000700006013,,1.74,,,,,2.12,1.34,1.76,,2.4,2.28,1.94,,2.12,,,,,,,,,,,1.32,2.12,,,,,,,,,,,,,,,,,,
G06000700006031,,0.68,,,,,1.23,0.25,1.2,,1.58,1.38,1.05,,1.29,,,,,,,,,,,1.17,1.23,,,,,,,,,,,,,,,,,,
G06000700006032,,0.18,,,,,0.74,0.44,1.03,,1.09,0.9,0.57,,0.97,,,,,,,,,,,1.65,0.74,,,,,,,,,,,,,,,,,,
G06000700006033,,0.59,,,,,0.55,1.14,1.42,,0.74,0.71,0.41,,,,,,,,,,,,,1.77,0.24,,,,,,,,,,,,,1.12,,,,,
G06000700006034,,0.52,,,,,1.09,0.26,0.69,,1.11,1.24,0.91,,1.15,,,,,,,,,,,1.31,0.89,,,,,,,,,,,,,,,,,,
G06000700006041,,0.53,,,,,1.08,0.77,0.67,,0.99,1.19,0.92,,,,,,,,,,,,,1.21,0.76,,,,,,,,,,,,,0.85,,,,,
G06000700006042,,1.4,,,,,1.95,0.8,1.22,,1.86,2.06,1.79,,2.03,,,,,,,,,,,0.85,1.64,,,,,,,,,,,,,,,,,,
G06000700006043,,0.76,,,,,1.31,0.5,0.45,,1.22,1.42,1.15,,,,,,,,,,,,,1.19,0.99,,,,,,,,,,,,,1.11,,,,,
G06000700006044,,1.42,,,,,1.96,0.81,1.23,,1.87,2.07,1.8,,2.05,,,,,,,,,,,0.8,1.65,,,,,,,,,,,,,,,,,,
G06000700006045,,0.8,,,,,1.35,0.54,0.49,,1.26,1.46,1.19,,,,,,,,,,,,,1.23,1.04,,,,,,,,,,,,,1.15,,,,,
G06000700007001,2.21,1.31,,,,,,1.07,2.01,,,,1.29,,0.56,,,,,,,,,,,,1.68,,,,,,,,,2.13,,2.29,,,,,,1.6,
G06000700007002,,0.73,,,,,1.09,0.67,1.43,,,1.25,0.71,,0.57,,,,,,,,,,,1.9,1.1,,,,,,,,,,,2.37,,,,,,,
G06000700007003,,0.58,,,,,0.95,1.19,1.78,,1.23,1.03,0.56,,0.37,,,,,,,,,,,,0.96,,,,,,,,,,,1.97,,,,,,,
G06000700007004,,0.96,,,,,1.33,0.72,1.66,,,,0.95,,0.95,,,,,,,,,,,1.63,1.34,,,,,,,,,,,2.68,,,,,,1.78,
G06000700008001,2.02,2.62,,,,,,,,2.52,,,2.57,,1.95,,,,,,,,,,,,,,,,,,,,,1.87,0.4,2.98,3.45,,,,,2.44,
G06000700008002,0.79,,,,,,,,,3.04,,,2.38,,1.73,,,,,,,,,,,,,,2.68,,,,,,2.9,0.64,1.6,2.97,,,,,,1.55,
G06000700008003,,1.32,,,,,1.59,1.79,,2.41,,,1.3,,0.65,,,,,,,,,,,,,,,,,,,,,1.51,1.91,1.89,,,,,,1.64,
G06000700008004,1.57,1.62,,,,,,1.58,,2.75,,,1.6,,0.66,,,,,,,,,,,,,,,,,,,,,1.5,2.14,2.22,,,,,,1.27,
G06000700008005,1.76,2.02,,,,,,,,3.12,,,2.0,,1.35,,,,,,,,,,,,,,,,,,,,,1.68,1.15,2.59,3.55,,,,,1.92,
G06000700008006,1.66,2.0,,,,,,2.46,,3.1,,,1.98,,1.33,,,,,,,,,,,,,,,,,,,,,1.58,1.37,2.57,,,,,,1.82,
G06000700009011,,,,,,,4.13,,,2.25,,,,3.07,,,,,,,,,,2.92,2.13,,,,,,,,,,,,,3.29,2.14,,1.94,2.61,2.97,,
G06000700009031,,,,,,,3.29,,,1.73,3.43,,,2.22,,,,,,,,,,2.08,1.07,,,,,,,,,,,,,,1.36,,0.19,1.76,2.13,,
G06000700009032,,,,,,,3.21,,,1.66,3.35,,,2.15,,,,,,,,,,2.0,1.2,,,,,,,,,,,,,,1.28,,0.53,1.69,2.05,,
G06000700009033,,,,,,,3.11,,,1.02,,3.18,3.2,2.52,,,,,,,,,,2.38,,,3.44,,,,,,,,,,,1.79,0.3,,,,2.43,,
G06000700009034,,,,,,,3.0,,,0.36,,,3.09,2.67,,,,,,,,,,2.42,,,,,,,,,,,,,,1.67,1.36,,2.25,2.52,2.38,,
G06000700009041,2.25,,,,,,,,,2.4,,,2.51,,2.18,,,,,,,,,,,,,,,,,,,,,2.1,0.63,2.86,3.33,,,,3.44,2.68,
G06000700009042,3.14,,,,,,,,,1.53,,,4.08,,3.74,,,,,,,,,,,,,,,,,,,,,2.99,2.25,2.4,2.52,,,,3.37,3.9,
G06000700009043,,2.36,,,,,1.94,,,1.14,,,2.03,,1.69,,,,,,,,,1.36,,,,,,,,,,,,,2.63,0.17,1.59,,,,1.33,,
G06000700010001,,1.36,,,,,0.91,,,,,0.98,1.0,,1.4,,,,,,,,,0.59,,,1.24,,,,,,,,,,,1.25,2.22,,,,0.89,,
G06000700010002,,0.57,,,,,0.0,1.19,,,0.35,0.15,0.38,1.14,,,,,,,,,,1.35,,,0.45,,,,,,,,,,,,,1.12,,,,,
G06000700010003,,1.22,,,,,0.78,,,,0.95,0.85,0.87,0.68,,,,,,,,,,0.61,,,1.1,,,,,,,,,,,,2.38,,,,1.0,,
G06000700010004,,1.06,,,,,0.72,,1.59,,0.33,0.53,1.08,1.5,,,,,,,,,,1.72,,,0.68,,,,,,,,,,,,,0.57,,,,,
G06000700010005,,1.19,,,,,0.71,,,,0.32,0.52,1.09,1.12,,,,,,,,,,1.33,,,0.81,,,,,,,,,,,,,0.82,,,1.77,,
G06000700010006,,0.95,,,,,0.38,,,,0.52,0.45,0.76,0.78,,,,,,,,,,0.99,,,0.83,,,,,,,,,,,,,1.28,,,1.42,,
G06000700011001,,1.61,,,,,1.13,,1.8,,0.75,0.95,1.52,1.67,,,,,,,,,,1.89,,,1.23,,,,,,,,,,,,,0.72,,,,,
G06000700011002,,,,,,,1.73,,,,1.34,1.54,,1.76,,,,,,,,,,1.98,,,1.83,,,,,,,,,,,,,1.32,3.96,3.32,2.41,,
G06000700011003,,,,,,,1.48,,,,1.09,1.29,,1.43,,,,,,,,,,1.65,,,1.58,,,,,,,,,,,,,1.07,3.63,2.99,2.08,,
G06000700011004,,1.72,,,,,1.37,,1.76,,0.98,1.18,1.73,2.15,,,,,,,,,,,,1.61,1.34,,,,,,,,,,,,,0.82,,,,,
