,107938000,107938060,107938072,178280526,186035189,238196639,238795493,253422053,267606286,377679439,446306273,453364832,458120791,458143311,458290344,458330405,458637681,458726774,459027800,459343375,459343387,459990606,459996994,460186027,463034036,464252314,464523362,465348378,465348379,465838510,465844559,469328898,469351138,469358245,469806389,469810356,469882451,472461912,485954282,487921231,494765619,494766534,506051838,506051839,506051840,506051841,506169173,507825223,510034456,511582123,512795514,515127330,518468338,519946736,543801788,543997641,544433663,548368881,548999253,551913325,553697208,554190373,560997826,561946573,564320640,564540770,564547095,568866671,588652853,592312174,616466657,618737278,635992118,636246884,636246885,636246886,674376082,683343187,736680143,772092242,773820991,775221702,775444335,776192691,776391546,777266779,777266780,779529214,781778195,792375503,796379027,852164355,854057971,892824697,896439867,98569443
G06008900107043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,1.28,,2.13,,,,4.29,,,2.12,,,,,,,2.13,,,,,,,,,,,,,,,,,1.38,,,3.59,,,3.67,3.59,,,,,,,,,
G06008900108031,,,,,,,,2.22,,,,,,3.47,,,,,2.96,,,,,,,,,,,1.4,,,,,,,,,,,,,0.71,0.64,0.64,0.64,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,
G06008900108032,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,0.93,,,,,,,,,,,,,0.9,0.82,0.82,0.82,,,,,,,,,,,,,1.41,,,,,,,1.3,1.25,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,
G06008900108033,,,,,,,,2.56,,,,,,,,,,,3.3,,,,,2.25,,,,,,1.13,,,,,,,,,,,,,0.42,0.45,0.45,0.45,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,
G06008900108041,,,,,,,,,,2.87,,,,0.27,,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.29,3.29,3.29,,,,,,,,,,,,3.05,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,
G06008900108042,,,,,,,,0.85,,,,,,1.69,,,,,1.59,,,,,,,,,,,2.49,,,,,,,,,,,,,1.81,1.73,1.73,1.73,,,,,,,,,,,,1.49,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06008900108051,,,,,,,,,,,,,,3.11,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,3.27,2.76,,2.52,2.52,2.52,,,,,,,,,,,,,,1.62,,,,2.81,,
G06008900108052,,,,,,,,,,,,,,1.62,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,2.59,,,,2.35,2.35,2.35,,,,,,,,1.95,,,,,,1.65,,,,2.24,,
G06008900108061,,,,,,,,4.27,,,,,,,,,,,3.54,,,,,,,,,,,,,,4.81,,4.65,4.34,,,,,,,,,,,2.01,,2.31,,,,,,,2.86,,,,,,,2.31,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,
G06008900108062,,,,,,,,2.13,,,,,,,,,,,1.25,,,,,,,,,,,2.46,,,,,,,,,,,,,3.43,3.36,3.36,3.36,,,0.96,,,,,,,0.96,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
