,205543917,218849614,27179805,27420396,27420438,27588507,27588640,27588811,27589016,27589226,27589310,27589495,27590535,27928059,27928118,27928155,27946162,27946286,27946310,27946323,27946663,28239302,28512205,28512446,29123762,33747460,34779901,35061973,385778927,385799186,44602862,55414436,55414476,65072026,65072179,65072265,82811031,84518573,89795850,90455023
G06006900005022,,,,,,,1.43,,1.53,1.26,,,,,,,0.65,,,,,0.01,0.91,0.93,,,,,,,,,,1.0,0.93,0.93,,,,
G06006900005023,,,,,0.94,,0.31,,,,,,,1.45,,,,,,,,1.41,1.39,1.07,,,1.12,,,,,,,1.14,1.07,1.07,,,,
G06006900005024,,,,,,,0.73,,1.46,1.19,,,,,,,,,,,,0.68,0.86,0.86,,,1.09,,,,,,,0.93,0.86,0.86,,,,
G06006900006001,,,,0.57,0.95,1.7,2.05,,,,,,,0.4,0.34,0.93,,,,1.38,,,,,0.54,,,,,,,,1.63,,,,,,,
G06006900006002,,,,0.4,1.74,1.85,,,,,,,,1.19,1.21,1.8,,,1.92,1.39,,,,,0.75,,,,,,1.89,,,,,,,,,
G06006900006003,,,,1.43,0.52,1.21,,,,,,,,0.89,1.37,1.97,,1.14,1.53,1.03,,,,,1.07,,,,,,,,,,,,,,,
G06006900006004,,,,0.62,0.85,1.09,,,,,,,,0.77,1.21,1.8,,1.55,1.43,0.77,,,,,0.42,,,,,,,,,,,,,,,
G06006900007011,,,,,,,,1.38,0.56,0.83,,,,,,,,1.8,,,,,1.28,1.15,,,,,,,,,,1.1,1.15,1.15,1.16,,,
G06006900007012,,,,,,,,1.6,0.74,0.62,,,,,,,,,,,,1.72,0.91,0.93,,,,,,,,,,1.0,0.93,0.93,1.37,,,
G06006900007021,,,,,,2.12,,1.71,1.84,2.1,,,,,,,,2.0,1.79,2.55,,,,,,,,,,,1.24,,,2.37,,,1.59,,,
G06006900007022,,,,,1.21,0.21,,1.15,,,,,,1.52,,,,0.89,0.54,0.49,,,,,1.17,,,,,,1.0,,,,,,1.38,,,
G06006900007023,,,,,1.28,,,0.77,1.07,1.21,,,,,,,,0.65,,,,,,0.88,,,,,,,,,,0.81,0.88,0.88,0.88,,,
G06006900008011,,,,2.39,,3.34,,,,,2.18,,2.21,,2.78,3.03,,,,2.88,,,,,2.68,,,,3.28,,3.38,,,,,,,,,
G06006900008012,,,,2.03,,2.98,,,,,2.43,,1.94,2.76,2.42,2.67,,,,2.51,,,,,2.32,,,,,,3.02,,,,,,,,,
G06006900008021,,50.11,,38.36,,,,,,,37.55,,35.12,,,,,,,,,,,,,,,29.22,33.52,32.24,,,,,,,,38.98,12.04,57.19
G06006900008022,,,,9.55,,8.52,,,,,11.12,,12.4,,,,,,8.19,,,,,,,,,13.18,13.47,14.75,7.64,,,,,,,2.3,,
G06006900008023,,,,5.13,,,,,,,4.44,,1.89,,5.52,5.77,,,,,,,,,5.42,,,4.51,0.32,1.46,,,,,,,,14.87,,
