,100772151,209941219,226756136,233597102,233599102,288849950,295178666,295324170,353362718,374863837,374864624,374888107,382847457,384258646,384942109,384942362,395484920,395484920,395484921,396084755,407838592,409186948,409186959,44487079,454607098,470792709,540394724,540394725,540394726,540394727,540394728,540394729,540394730,557792226,557792271,557792313,595240534,6321155,672643290,672819688,687695028,7733144,776314785,844938995,845940576,849414603,849416727,854411966,874961578,894490826,899088422,901532567,9098811,920702707,921138593,924590660,925790606
G06002300003003,,,,,,,,,,,,,2.41,,,2.02,,,,,,,,,,,,,,,,,,,,,2.05,,,,2.71,,,,,2.32,2.1,1.38,1.15,,,,1.82,1.35,,,
G06002300003004,,,,,,,,,,2.46,,,2.75,,,2.36,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,2.77,2.43,1.72,1.48,,,,2.16,1.69,,,
G06002300003005,,,,,,,,,,1.74,,,2.03,,,1.52,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,2.23,1.78,1.01,1.3,,,,1.45,0.98,,,
G06002300004001,,,,,,,,,,3.8,,,4.09,,,3.58,,,,,,,,,,,,,,,,,,,,,4.06,,,,,,,,,4.3,3.85,3.06,3.22,,,,3.5,3.04,,,
G06002300004002,,,,,,,,,,2.88,,,3.17,,,2.78,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,,,3.2,2.86,2.14,1.91,,,,2.58,2.11,,,
G06002300004003,,,,,,,,,,3.91,,,4.06,,,3.81,,,,,,,,,,,,,,,,,,,,,3.46,,,,,,,,,3.73,3.54,3.17,2.79,,,,3.39,3.14,,,
G06002300005001,,,,1.5,,,,,,2.07,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,0.46,,,,,0.73,1.08,1.9,1.95,,,,1.46,,,,
G06002300005002,,,,1.35,,,,,,1.92,,,1.13,,,2.14,,,,,,,,,,,,,,,,,,,,,1.22,,,,0.77,,,,,0.99,1.33,2.13,,,,,1.69,,,,
G06002300005003,,,,,,,,,,1.92,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,0.44,,,,,0.4,0.52,1.34,1.4,,,,0.9,1.46,,,
G06002300005004,,,,,,,,,,2.02,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,0.56,,,,,0.17,0.29,1.24,1.16,,,,0.77,1.24,,,
G06002300006001,,,,0.8,1.15,,,,,1.7,,,1.17,,,1.42,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,1.55,1.57,1.94,,,,,1.73,,,,
G06002300006002,,,,1.61,1.72,,,,,0.41,,,0.38,,,0.62,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,1.43,0.76,,,,,0.94,0.79,,,
G06002300006003,,,,,,,,,,0.88,,,0.94,,,1.1,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,1.31,0.97,0.09,0.79,,,,0.47,0.23,,,
G06002300006004,,,,,,,,,,1.45,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,1.01,,,,,0.74,0.4,0.67,0.88,,,,0.22,0.79,,,
G06002300006005,,,,1.25,,,,,,1.09,,,0.3,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,1.23,0.89,1.17,,,,,0.74,1.32,,,
G06002300007001,,,,1.73,1.43,,,,,0.61,,,1.0,,,0.0,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,2.06,1.13,,,,,1.56,1.1,,,
G06002300007002,,,,2.43,2.12,,,,,1.46,,,1.86,,,0.86,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,1.98,2.74,,,,2.42,1.96,,,
G06002300007003,,,,,3.49,,,,,2.45,,,2.74,,,2.23,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,2.63,1.71,2.35,,,,2.16,1.69,,,
G06002300007004,,,,,,,,,,1.16,,,1.45,,,0.94,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,1.95,1.61,0.67,1.43,,,,1.11,0.65,,,
G06002300008001,,,,1.72,1.13,,,,,1.29,,,1.68,,,0.8,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,2.73,1.82,,,,,2.24,1.79,,,
G06002300008002,,,,0.41,0.68,,,,,1.81,,,1.57,,,1.53,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,1.97,2.06,,,,,2.13,2.2,,,
G06002300008003,,,,3.22,3.85,,,,,3.79,,,3.01,,,4.01,,,,,,,,4.02,,,,,,,,,,,,,,,,,2.64,,,,,2.87,3.21,,,,,,3.57,,,,
G06002300009001,2.97,1.67,1.52,,,,,,,,,1.69,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,2.31,1.9,,,2.0,2.99,3.29,,,,,,,,,,,,
G06002300009002,3.83,2.54,2.39,,,,,,,,,2.54,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,3.17,2.76,,,2.86,3.85,4.16,,,,,,,,,,,,
G06002300009003,7.82,6.53,6.38,,11.36,,,,,,,6.53,,,,,,,,,,,,11.06,,6.49,,,,,,,,,,,,,7.16,6.75,,,6.85,,,,,,,,,,,,,,
G06002300010001,0.92,0.92,0.87,,,,,,,,,0.54,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,0.27,0.34,,,0.23,0.95,1.25,,,,,,,,,,,,
G06002300010002,1.69,0.75,0.42,,,,,,,,,0.42,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,1.15,0.73,,,0.72,1.83,2.02,,,,,,,,,,,,
