,181367758,199360918,199458468,199458469,199481072,199483336,200689634,200689638,201871034,202537178,203213296,203234588,203234589,203234591,203234592,203344808,203346433,203346856,203347702,229367195,241600795,242224153,242229708,242231047,2727371,44581269,44581434,583275846,770775007,925224134
G06010700010042,,,,,,,,,,,4.09,2.34,3.04,2.38,2.48,2.68,1.95,,1.61,,,,,,1.88,2.76,,,,
G06010700010043,,,,,,,,,,,3.86,3.16,3.86,3.2,3.29,2.8,2.19,,2.25,,,,,,2.0,2.75,,,,
G06010700010044,,,,,,,,,,,3.43,2.77,3.47,2.81,2.91,2.16,1.55,,1.85,,,,,,1.36,2.24,,,,
G06010700010051,,,,,,,,,,,0.8,6.31,7.01,6.35,6.45,3.75,3.99,,4.43,,,,,,3.39,2.97,,,,
G06010700010061,,,,,,,,,,,2.34,3.94,4.64,3.98,4.09,2.83,2.58,,2.99,,,,,,1.92,2.54,,,,
G06010700010062,,,,,,,,,,,1.76,4.41,,4.45,4.55,1.45,1.69,2.65,2.12,,,,,,1.09,0.67,,,,
G06010700010063,,,,,,,,,,,0.78,5.15,5.85,5.2,5.3,3.02,3.17,,3.58,,,,,,2.52,2.24,,,,
G06010700010064,,,,,,,,,,,0.85,5.13,,5.17,5.27,2.39,2.63,3.58,3.07,,,,,,2.11,1.61,,,,
G06010700010065,,,,,,,,,,,0.46,5.64,,5.68,5.78,2.86,3.1,4.05,3.53,,,,,,2.72,2.08,,,,
G06010700011001,,,,,,,,,,,3.77,2.05,2.75,2.09,2.19,2.34,1.61,,1.21,,,,,,1.54,2.43,,,,
G06010700011002,,,,,,,,,,,3.81,2.19,2.89,2.23,2.33,2.06,1.32,,0.91,,,,,,1.26,2.14,,,,
G06010700011003,,,,,,,,,,,3.33,2.66,3.36,2.71,2.81,1.8,1.19,,1.51,,,,,,1.0,1.89,,,,
G06010700011004,,,,,,,,,,,2.79,3.18,3.88,3.22,3.33,1.85,1.6,,2.01,,,,,,0.94,1.64,,,,
G06010700012001,,,,,,,,,,,3.23,2.92,3.62,2.96,3.06,1.24,0.5,,0.91,,,,,,0.44,1.33,,,,
G06010700013011,,,,,,,,,,,7.17,1.82,0.76,2.06,1.96,5.6,4.86,,4.43,,,,,,4.8,5.68,,,,
G06010700013012,,,,,,,,,,,5.54,0.51,1.61,0.46,0.38,3.96,3.23,,2.81,,,,,,3.16,4.05,,,,
G06010700013013,,,,,,,,,,,5.17,1.78,2.88,1.73,1.65,3.6,2.86,,2.45,,,,,,2.8,3.68,,,,
G06010700013021,,,,,,,,,,,4.09,1.98,2.68,2.02,2.12,2.33,1.59,,1.14,,,,,,1.53,2.42,,,,
G06010700013022,,,,,,,,,,,4.93,1.29,1.99,1.33,1.43,3.18,2.44,,2.01,,,,,,2.38,3.27,,,,
G06010700013023,,,,,,,,,,,6.78,1.42,1.07,1.67,1.57,5.2,4.47,,4.01,,,,,,4.41,5.29,,,,
G06010700013024,,,,,,,,,,,6.11,1.72,1.37,1.97,1.87,3.95,3.21,,2.76,,,,,,3.52,4.12,,,,
G06010700014001,,,,,,,,,,,,5.23,4.88,5.47,5.37,7.37,6.63,7.18,6.17,,,,,,6.93,7.54,,,,
G06010700014002,,,,,,,,,,6.74,,10.62,10.27,10.87,10.76,12.91,12.17,,11.73,,,,,,12.49,13.08,,,,
