G06001900012011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.76,3.06,,1.69,2.12,1.57,,,2.92,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,
G06001900012012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,3.3,,1.36,1.78,1.23,,,2.94,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
G06001900012013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,0.73,0.73,,,0.85,1.28,0.73,,,3.76,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,
G06001900012014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.68,,,1.44,2.11,1.57,,,2.94,,,,,,0.75,,,,,,,,,,,,,,,,,,,,3.59,,,,
G06001900012021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,2.16,,,1.07,1.07,,,0.63,1.06,0.31,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,
G06001900012022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.3,,,1.12,1.78,1.24,,,3.63,,,,,,1.36,,,,,,,,,,,,,,,,,,,,3.13,,,,
G06001900013011,,,,,2.38,,,,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,1.82,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,2.15,1.75,2.03,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,
G06001900013012,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,1.58,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,2.44,1.79,1.78,,,2.56,,2.25,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,1.12,2.12,,2.33,2.33,,,2.11,2.51,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,0.87,1.87,,2.33,2.33,,,1.83,2.02,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
