,106610217,106610297,112746734,112748276,116268231,121347781,151326395,178352226,193849643,195463192,195463195,195463215,195463236,195463246,195463249,195463272,195463282,195463289,195463312,195463335,195463378,195463401,195463409,195463411,195463503,1967292,237994252,238128685,238128686,238130018,238130025,239147680,240216882,261183211,261477840,272224861,273804084,274704090,274714293,279275102,281757473,281972139,284577883,284578059,284658526,284658527,307063692,307063759,318174614,330700863,330970249,330970265,330970314,344189632,35073459,352169992,35285827,353893611,375009814,375011811,375012179,375012372,393293673,393312620,416476759,442588084,447537123,453453554,453453555,460142773,484987523,498111400,498978787,500792236,522998648,544299977,544907998,544908003,544908009,545103161,545956805,546245486,547321963,556619044,564790532,564790533,564790534,565275314,565275326,565275349,565624441,565843862,565843870,566414987,566414998,567618963,568837643,574259698,574259979,574260373,574612473,574612479,576941989,605780527,640354885,675557972,690889877,691908350,691908353,691924018,691924020,691924031,691924034,691942964,691942978,692359155,693686593,699519757,699519758,699519855,708693961,721037770,722008965,735387807,771525362,771525363,777207288,778685261,779792787,782894949,784079888,7851877,792379185,793301549,793388297,794678180,798190499,798197815,798197840,832653846,832704560,863721376,889987606,889987607,945216838
G06009701503054,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,2.22,,,,,,2.05,2.86,,,,2.13,,2.25,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,1.88,0.58,,,,,,,,,
G06009701503061,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,2.07,,,,,,1.89,2.71,,,,1.97,,2.09,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,1.73,0.94,,,,,,,,,
G06009701503062,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,2.81,,,,,,2.64,3.45,,,,2.72,,2.84,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,2.47,1.48,,,,,,,,,
G06009701503063,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,4.95,,,,,,4.77,5.59,,,,4.86,,4.97,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59,4.61,3.61,,,,,,,,,
G06009701505001,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,5.72,,,,,,5.9,6.58,,,,5.98,,5.97,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58,5.64,4.25,,,,,,,,,
G06009701505002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.69,6.54,6.46,8.2,8.47,,9.3,,,8.57,,,,,,,,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06009701505003,,,,,,,,,,,,,,,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08,,,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,12.37,12.22,12.3,,,,9.47,,9.66,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23,,,,,,,,,
G06009701505004,,,,,,,,,,,,,,,6.17,,,,,,,,,,,,,,,,,8.61,,,,,,8.44,9.25,,,,8.52,,8.63,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25,8.27,7.28,,,,,,,,,
G06009701505005,,,,,,,,,,,,,,,2.69,,,,,,,,,,,,,,,,,4.83,,,,,,5.01,5.69,,,,5.09,,5.08,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69,4.75,3.35,,,,,,,,,
G06009701505006,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,7.52,,,,,,7.7,8.38,,,,7.78,,7.77,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,7.44,6.04,,,,,,,,,
G06009701506011,,,,,,0.74,1.4,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,1.68,,,,,2.12,1.97,,,1.58,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
