,187239323,187239326,187239327,203307582,208184080,273318342,273377895,273388978,299946010,325095940,463388115,463716160,463716280,466184531,466311886,466311889,466311891,466311893,466823960,467317778,467317976,467319661,468788592,484966809,546693447,551926513,556587287,627211051,719044251,768404386,825326562,911560443,949265893
G06005502004002,,,,,,,1.41,1.68,1.13,,,,,,,,,2.15,1.69,1.11,1.21,1.21,,1.93,,,,,,,,1.13,
G06005502004003,,,,2.0,,1.89,1.14,2.37,0.96,,,,,,,,,,1.59,1.62,1.35,1.28,,,,,,,,,,1.19,
G06005502005011,,,,,,,,0.86,,,0.85,,1.39,,2.4,,1.53,1.53,,1.54,,,1.41,0.79,,,1.03,,,,,,
G06005502005012,,,,,,,,0.24,,,1.39,,1.64,,1.83,1.75,0.96,0.96,,1.01,1.29,,,1.36,,,,,,,,,
G06005502005013,,,,,,,,0.57,1.42,,,,,,1.53,1.45,0.86,0.86,,0.62,0.87,1.1,,,,,,,,,,1.28,
G06005502005031,,,,,,,,0.62,0.99,,,,,,,1.72,1.08,1.08,1.24,0.18,0.45,0.78,,,,,,,,,,0.96,
G06005502005032,,,,,,,1.66,1.24,0.76,,,,,,,,1.7,1.7,1.21,0.5,0.3,0.63,,,,,,,,,,0.76,
G06005502005041,,,,,,,,0.48,1.33,,,,,,,2.21,1.45,1.45,,0.41,0.67,1.19,,0.95,,,,,,,,1.33,
G06005502005042,,,,,,,,1.07,,,1.67,,2.22,,,,,2.13,,1.17,1.42,1.92,1.68,0.2,,,1.86,,,,,,
G06005502005043,,,,,,,,0.64,1.59,,,,,,,,1.7,1.7,,0.67,0.92,1.44,1.86,0.69,,,,,,,,1.58,
G06005502005051,,,,,,,,1.36,1.85,,1.99,,,,,,,2.32,,1.28,1.39,1.72,2.0,0.51,,,,,,,,1.85,
G06005502005052,,,,,,,,1.23,1.68,,,,,,,,2.15,2.15,,1.11,1.22,1.55,2.36,0.87,,,,,,,,1.68,
G06005502006011,,,,,,,,2.77,,4.22,2.07,0.86,2.63,,,,,,,,,,1.08,2.27,4.14,,2.25,1.04,,,,,
G06005502006012,,,,,,,,2.02,,,1.37,0.78,1.94,,,,,2.44,,,,,0.61,1.52,3.45,,1.56,1.21,,,,,
G06005502006013,,,,,,,,1.54,,,1.37,1.16,1.91,,,,,2.21,,,,,0.85,1.07,3.28,,1.55,1.6,,,,,
G06005502006014,,,,,,,,2.35,,,1.8,0.75,2.37,,,,,2.87,,,,,0.67,1.85,3.88,,1.99,0.93,,,,,
