G06008701102001,,,,,,,,,,,,,,,,,1.42,1.84,,1.76,,,,,,,,,,,2.02,,,,,,,,,,,,1.48,,,,,,,1.54,,,,,,,,,1.41,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,
G06008701102002,,,,,,,,,,,,,,,,,0.82,,1.3,1.19,1.31,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,1.71,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.62,,,,,,,,,,,,,,,,,,,1.19,,
G06008701102003,,,,,,,,,,,,,,,,,0.87,,1.15,1.05,1.16,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,1.51,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,1.48,,,,,,,,,,,,,,,,,,,1.05,,
G06008701102004,,,,,,,,,,,,,,,,,1.18,,1.52,1.41,1.51,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,1.43,,,,,,,,,1.25,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,1.39,,
G06008701102005,,,,,,,,,,,,,,,,,1.44,,1.92,1.82,,,,,,,,,,,1.25,,,,,,,,,,,,1.69,,,,,,,2.4,,,,,,,,,2.22,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,1.82,,
G06008701103001,,,,,,,,,,,,,,,,,0.87,,0.68,0.58,0.69,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,1.36,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1.01,,,,,,,,,,,,,,,,,,,0.58,,
G06008701103002,,,,,,,,,,,,,,,,,0.78,,0.34,0.24,0.35,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,1.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.66,,,,,,,,,,,,,,,,,,,0.24,,
G06008701103003,,,,,,,,,,,,,,,,,1.28,,0.86,0.75,0.71,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,1.25,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.02,,,,,,,,,,,,,,,,,,,0.59,,
G06008701103004,,,,,,,,,,,,,,,,,0.44,,0.21,0.22,0.44,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,1.91,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.83,,,,,,,,,,,,,,,,,,,0.61,,
G06008701104001,,,,,,,,,,,,,,,,,2.31,,1.87,1.76,1.55,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,1.48,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,1.23,,,,,,,,,,,,,,,,,,,1.54,,
