,GISJOIN,REGION,POP
337,G06000104202002,Bay Area,950
338,G06000104202003,Bay Area,1027
339,G06000104203001,Bay Area,1922
340,G06000104203002,Bay Area,2218
341,G06000104203003,Bay Area,837
342,G06000104204001,Bay Area,3062
343,G06000104205001,Bay Area,1024
344,G06000104205002,Bay Area,1533
345,G06000104206001,Bay Area,1397
346,G06000104206002,Bay Area,885
347,G06000104206003,Bay Area,1154
348,G06000104211001,Bay Area,784
349,G06000104211002,Bay Area,1300
350,G06000104212001,Bay Area,717
351,G06000104212002,Bay Area,1444
352,G06000104212003,Bay Area,665
353,G06000104212004,Bay Area,768
354,G06000104213001,Bay Area,1115
355,G06000104213002,Bay Area,1028
356,G06000104213003,Bay Area,1002
357,G06000104213004,Bay Area,728
358,G06000104214001,Bay Area,1030
359,G06000104214002,Bay Area,604
360,G06000104215001,Bay Area,1195
361,G06000104215002,Bay Area,1333
362,G06000104215003,Bay Area,1166
363,G06000104216001,Bay Area,864
364,G06000104216002,Bay Area,1248
365,G06000104216003,Bay Area,654
366,G06000104216004,Bay Area,851
367,G06000104217001,Bay Area,1465
368,G06000104217002,Bay Area,919
369,G06000104217003,Bay Area,1108
370,G06000104218001,Bay Area,1127
371,G06000104218002,Bay Area,1017
372,G06000104219001,Bay Area,1033
373,G06000104219002,Bay Area,1049
374,G06000104219003,Bay Area,1128
375,G06000104219004,Bay Area,961
376,G06000104220001,Bay Area,1566
377,G06000104220002,Bay Area,590
378,G06000104221001,Bay Area,899
379,G06000104221002,Bay Area,2174
380,G06000104222001,Bay Area,1066
381,G06000104222002,Bay Area,870
382,G06000104222003,Bay Area,1301
383,G06000104223001,Bay Area,1060
384,G06000104223002,Bay Area,1294
385,G06000104223003,Bay Area,1289
386,G06000104224001,Bay Area,2119
387,G06000104224002,Bay Area,941
388,G06000104224003,Bay Area,1427
389,G06000104225001,Bay Area,1223
390,G06000104225002,Bay Area,1187
391,G06000104225003,Bay Area,1990
392,G06000104226001,Bay Area,1043
393,G06000104227001,Bay Area,1004
394,G06000104227002,Bay Area,1548
395,G06000104227003,Bay Area,2714
396,G06000104228001,Bay Area,4735
397,G06000104228002,Bay Area,2100
398,G06000104228003,Bay Area,2229
399,G06000104229001,Bay Area,2834
400,G06000104229002,Bay Area,2927
401,G06000104230001,Bay Area,1990
402,G06000104230002,Bay Area,1856
403,G06000104230003,Bay Area,1116
404,G06000104231001,Bay Area,1839
405,G06000104231002,Bay Area,928
406,G06000104231003,Bay Area,930
407,G06000104231004,Bay Area,716
408,G06000104232001,Bay Area,1360
409,G06000104232002,Bay Area,1622
410,G06000104233001,Bay Area,932
411,G06000104233002,Bay Area,1493
412,G06000104233003,Bay Area,1079
413,G06000104234001,Bay Area,856
414,G06000104234002,Bay Area,949
415,G06000104234003,Bay Area,1845
416,G06000104234004,Bay Area,1513
417,G06000104235001,Bay Area,1379
418,G06000104235002,Bay Area,1000
419,G06000104235003,Bay Area,1047
420,G06000104236011,Bay Area,1425
421,G06000104236012,Bay Area,1246
422,G06000104236021,Bay Area,1758
423,G06000104236022,Bay Area,2085
424,G06000104236023,Bay Area,2685
425,G06000104237001,Bay Area,2131
426,G06000104237002,Bay Area,968
427,G06000104237003,Bay Area,1049
428,G06000104238001,Bay Area,603
429,G06000104238002,Bay Area,1057
430,G06000104238003,Bay Area,1326
431,G06000104239011,Bay Area,1069
432,G06000104239012,Bay Area,985
433,G06000104239021,Bay Area,635
434,G06000104239022,Bay Area,970
435,G06000104240011,Bay Area,1105
436,G06000104240012,Bay Area,907
437,G06000104240013,Bay Area,1005
438,G06000104240014,Bay Area,1010
439,G06000104240021,Bay Area,1498
440,G06000104240022,Bay Area,1085
441,G06000104251011,Bay Area,1354
442,G06000104251012,Bay Area,305
443,G06000104251021,Bay Area,1280
444,G06000104251022,Bay Area,2080
445,G06000104251023,Bay Area,546
446,G06000104251031,Bay Area,878
447,G06000104251032,Bay Area,1138
448,G06000104251033,Bay Area,779
449,G06000104251041,Bay Area,1971
450,G06000104251042,Bay Area,1568
451,G06000104261001,Bay Area,1206
452,G06000104261002,Bay Area,544
453,G06000104261003,Bay Area,1141
454,G06000104261004,Bay Area,1065
455,G06000104261005,Bay Area,1752
456,G06000104261006,Bay Area,813
457,G06000104262001,Bay Area,1416
458,G06000104262002,Bay Area,2008
459,G06000104262003,Bay Area,1372
460,G06000104271001,Bay Area,1337
461,G06000104271002,Bay Area,864
462,G06000104271003,Bay Area,1774
463,G06000104272001,Bay Area,992
464,G06000104272002,Bay Area,1466
465,G06000104272003,Bay Area,944
466,G06000104272004,Bay Area,703
467,G06000104272005,Bay Area,75
468,G06000104273001,Bay Area,1298
469,G06000104273002,Bay Area,1557
470,G06000104273003,Bay Area,1050
471,G06000104273004,Bay Area,765
472,G06000104273005,Bay Area,676
473,G06000104276001,Bay Area,2277
474,G06000104276002,Bay Area,2278
475,G06000104276003,Bay Area,645
476,G06000104277001,Bay Area,1061
477,G06000104277002,Bay Area,2036
478,G06000104277003,Bay Area,1123
479,G06000104277004,Bay Area,981
480,G06000104278001,Bay Area,1078
481,G06000104278002,Bay Area,955
482,G06000104278003,Bay Area,1036
483,G06000104278004,Bay Area,788
484,G06000104278005,Bay Area,1097
485,G06000104279001,Bay Area,1231
486,G06000104279002,Bay Area,1111
487,G06000104279003,Bay Area,592
488,G06000104279004,Bay Area,791
489,G06000104279005,Bay Area,1327
490,G06000104280001,Bay Area,748
491,G06000104280002,Bay Area,2129
492,G06000104281001,Bay Area,1476
493,G06000104281002,Bay Area,1080
494,G06000104281003,Bay Area,1275
495,G06000104281004,Bay Area,1008
496,G06000104282001,Bay Area,1078
497,G06000104282002,Bay Area,1694
498,G06000104282003,Bay Area,1370
499,G06000104282004,Bay Area,1276
500,G06000104282005,Bay Area,1188
501,G06000104283011,Bay Area,2798
502,G06000104283012,Bay Area,861
503,G06000104283013,Bay Area,1266
504,G06000104283014,Bay Area,2352
505,G06000104283021,Bay Area,2351
506,G06000104283022,Bay Area,2453
507,G06000104283023,Bay Area,2620
508,G06000104284001,Bay Area,1988
509,G06000104284002,Bay Area,955
510,G06000104284003,Bay Area,1625
511,G06000104285001,Bay Area,2318
512,G06000104285002,Bay Area,779
513,G06000104286001,Bay Area,1638
514,G06000104286002,Bay Area,618
515,G06000104286003,Bay Area,1198
516,G06000104287001,Bay Area,3269
517,G06000104287002,Bay Area,1203
518,G06000104301011,Bay Area,1436
519,G06000104301012,Bay Area,2089
520,G06000104301013,Bay Area,3317
521,G06000104301021,Bay Area,2424
522,G06000104302001,Bay Area,1898
523,G06000104302002,Bay Area,951
524,G06000104302003,Bay Area,1083
525,G06000104302004,Bay Area,1168
526,G06000104302005,Bay Area,1778
527,G06000104303001,Bay Area,1756
528,G06000104303002,Bay Area,1026
529,G06000104303003,Bay Area,1044
530,G06000104304001,Bay Area,1010
531,G06000104304002,Bay Area,1097
532,G06000104305001,Bay Area,2983
533,G06000104305002,Bay Area,1589
534,G06000104305003,Bay Area,1415
535,G06000104306001,Bay Area,1130
536,G06000104306002,Bay Area,1230
537,G06000104306003,Bay Area,3374
538,G06000104306004,Bay Area,752
539,G06000104307001,Bay Area,759
540,G06000104307002,Bay Area,2348
541,G06000104307003,Bay Area,1063
542,G06000104308001,Bay Area,736
543,G06000104308002,Bay Area,569
544,G06000104308003,Bay Area,2404
545,G06000104308004,Bay Area,1573
546,G06000104309001,Bay Area,2043
547,G06000104309002,Bay Area,3266
548,G06000104310001,Bay Area,1262
549,G06000104310002,Bay Area,1515
550,G06000104311001,Bay Area,1462
551,G06000104311002,Bay Area,2099
552,G06000104312001,Bay Area,1453
553,G06000104312002,Bay Area,1747
554,G06000104312003,Bay Area,2374
555,G06000104321001,Bay Area,1396
556,G06000104321002,Bay Area,1169
557,G06000104321003,Bay Area,1009
558,G06000104322001,Bay Area,1003
559,G06000104322002,Bay Area,824
560,G06000104322003,Bay Area,2251
561,G06000104323001,Bay Area,1690
562,G06000104323002,Bay Area,667
563,G06000104323003,Bay Area,2387
564,G06000104324001,Bay Area,2047
565,G06000104324002,Bay Area,3064
566,G06000104324003,Bay Area,1892
567,G06000104325011,Bay Area,1594
568,G06000104325012,Bay Area,824
569,G06000104325013,Bay Area,2436
570,G06000104325021,Bay Area,2472
571,G06000104325022,Bay Area,899
572,G06000104325023,Bay Area,1807
573,G06000104326001,Bay Area,1479
574,G06000104326002,Bay Area,1273
575,G06000104326003,Bay Area,1053
576,G06000104326004,Bay Area,1177
577,G06000104326005,Bay Area,2061
578,G06000104327001,Bay Area,1011
579,G06000104327002,Bay Area,826
580,G06000104327003,Bay Area,979
581,G06000104328001,Bay Area,854
582,G06000104328002,Bay Area,1597
583,G06000104328003,Bay Area,1528
584,G06000104330001,Bay Area,854
585,G06000104330002,Bay Area,858
586,G06000104330003,Bay Area,867
587,G06000104330004,Bay Area,1075
588,G06000104331021,Bay Area,2039
589,G06000104331022,Bay Area,2446
590,G06000104331031,Bay Area,2725
591,G06000104331032,Bay Area,798
592,G06000104331041,Bay Area,852
593,G06000104331042,Bay Area,732
594,G06000104331043,Bay Area,2140
595,G06000104332001,Bay Area,2511
596,G06000104332002,Bay Area,2472
597,G06000104332003,Bay Area,1542
598,G06000104332004,Bay Area,1466
599,G06000104333001,Bay Area,1756
600,G06000104333002,Bay Area,748
601,G06000104333003,Bay Area,1748
602,G06000104333004,Bay Area,1796
603,G06000104333005,Bay Area,1713
604,G06000104334001,Bay Area,1232
605,G06000104334002,Bay Area,1081
606,G06000104334003,Bay Area,423
607,G06000104334004,Bay Area,1128
608,G06000104334005,Bay Area,997
609,G06000104334006,Bay Area,1073
610,G06000104335001,Bay Area,1064
611,G06000104335002,Bay Area,1262
612,G06000104335003,Bay Area,1368
613,G06000104335004,Bay Area,1136
614,G06000104336001,Bay Area,1669
615,G06000104336002,Bay Area,1460
616,G06000104336003,Bay Area,1213
617,G06000104336004,Bay Area,1752
618,G06000104337001,Bay Area,1117
619,G06000104337002,Bay Area,1441
620,G06000104337003,Bay Area,945
621,G06000104338001,Bay Area,683
622,G06000104338002,Bay Area,2825
623,G06000104338003,Bay Area,2197
624,G06000104338004,Bay Area,2474
625,G06000104339001,Bay Area,2236
626,G06000104339002,Bay Area,1710
627,G06000104339003,Bay Area,1408
628,G06000104339004,Bay Area,2331
629,G06000104340001,Bay Area,2642
630,G06000104340002,Bay Area,847
631,G06000104340003,Bay Area,1845
632,G06000104351021,Bay Area,2169
633,G06000104351022,Bay Area,4020
634,G06000104351031,Bay Area,3797
635,G06000104351032,Bay Area,2584
636,G06000104351033,Bay Area,1039
637,G06000104351041,Bay Area,2011
638,G06000104351042,Bay Area,3307
639,G06000104351043,Bay Area,799
640,G06000104352001,Bay Area,2667
641,G06000104352002,Bay Area,1992
642,G06000104353001,Bay Area,1325
643,G06000104353002,Bay Area,2324
644,G06000104353003,Bay Area,1090
645,G06000104354001,Bay Area,1580
646,G06000104354002,Bay Area,1027
647,G06000104354003,Bay Area,1931
648,G06000104355001,Bay Area,815
649,G06000104355002,Bay Area,1700
650,G06000104355003,Bay Area,1468
651,G06000104356011,Bay Area,3377
652,G06000104356012,Bay Area,2285
653,G06000104356021,Bay Area,1352
654,G06000104356022,Bay Area,792
655,G06000104356023,Bay Area,1441
656,G06000104356024,Bay Area,1868
657,G06000104357001,Bay Area,1616
658,G06000104357002,Bay Area,1218
659,G06000104357003,Bay Area,1031
660,G06000104357004,Bay Area,1366
661,G06000104358001,Bay Area,1265
662,G06000104358002,Bay Area,1274
663,G06000104358003,Bay Area,1510
664,G06000104358004,Bay Area,1494
665,G06000104359001,Bay Area,1743
666,G06000104359002,Bay Area,1899
667,G06000104359003,Bay Area,997
668,G06000104359004,Bay Area,732
669,G06000104360001,Bay Area,1185
670,G06000104360002,Bay Area,2420
671,G06000104360003,Bay Area,1458
672,G06000104361001,Bay Area,1253
673,G06000104361002,Bay Area,2329
674,G06000104361003,Bay Area,2395
675,G06000104362001,Bay Area,1627
676,G06000104362002,Bay Area,2639
677,G06000104363001,Bay Area,2562
678,G06000104363002,Bay Area,2556
679,G06000104363003,Bay Area,1781
680,G06000104363004,Bay Area,2545
681,G06000104364011,Bay Area,1322
682,G06000104364012,Bay Area,1967
683,G06000104364013,Bay Area,1662
684,G06000104364014,Bay Area,1252
685,G06000104364015,Bay Area,970
686,G06000104364021,Bay Area,1483
687,G06000104364022,Bay Area,1221
688,G06000104365001,Bay Area,2206
689,G06000104365002,Bay Area,3169
690,G06000104366011,Bay Area,1643
691,G06000104366012,Bay Area,3197
692,G06000104366013,Bay Area,2098
693,G06000104366021,Bay Area,3801
694,G06000104366022,Bay Area,1312
695,G06000104367001,Bay Area,1514
696,G06000104367002,Bay Area,1751
697,G06000104368001,Bay Area,2429
698,G06000104368002,Bay Area,1953
699,G06000104369001,Bay Area,2072
700,G06000104369002,Bay Area,1010
701,G06000104369003,Bay Area,1425
702,G06000104369004,Bay Area,2238
703,G06000104370001,Bay Area,1467
704,G06000104370002,Bay Area,777
705,G06000104370003,Bay Area,1249
706,G06000104371011,Bay Area,4187
707,G06000104371012,Bay Area,1492
708,G06000104371013,Bay Area,2188
709,G06000104371021,Bay Area,1295
710,G06000104371022,Bay Area,1932
711,G06000104371023,Bay Area,1294
712,G06000104372001,Bay Area,3182
713,G06000104372002,Bay Area,620
714,G06000104372003,Bay Area,1374
715,G06000104372004,Bay Area,2313
716,G06000104373001,Bay Area,925
717,G06000104373002,Bay Area,1629
718,G06000104373003,Bay Area,723
719,G06000104374001,Bay Area,913
720,G06000104374002,Bay Area,2572
721,G06000104375001,Bay Area,2181
722,G06000104375002,Bay Area,2350
723,G06000104376001,Bay Area,2333
724,G06000104376002,Bay Area,1203
725,G06000104377011,Bay Area,779
726,G06000104377012,Bay Area,1801
727,G06000104377013,Bay Area,1193
728,G06000104377021,Bay Area,2636
729,G06000104377022,Bay Area,1659
730,G06000104378001,Bay Area,4218
731,G06000104378002,Bay Area,779
732,G06000104379001,Bay Area,1084
733,G06000104379002,Bay Area,1237
734,G06000104380001,Bay Area,2677
735,G06000104380002,Bay Area,1275
736,G06000104381001,Bay Area,2088
737,G06000104381002,Bay Area,1038
738,G06000104381003,Bay Area,715
739,G06000104381004,Bay Area,1210
740,G06000104381005,Bay Area,1810
741,G06000104381006,Bay Area,1446
742,G06000104382011,Bay Area,2023
743,G06000104382012,Bay Area,1644
744,G06000104382013,Bay Area,1477
745,G06000104382031,Bay Area,1591
746,G06000104382032,Bay Area,2297
747,G06000104382041,Bay Area,1606
748,G06000104382042,Bay Area,1525
749,G06000104382043,Bay Area,2707
750,G06000104383001,Bay Area,1345
751,G06000104383002,Bay Area,1534
752,G06000104383003,Bay Area,888
753,G06000104384001,Bay Area,1089
754,G06000104384002,Bay Area,1668
755,G06000104401001,Bay Area,2799
756,G06000104402001,Bay Area,1791
757,G06000104402002,Bay Area,1453
758,G06000104402003,Bay Area,1609
759,G06000104402004,Bay Area,1272
760,G06000104403011,Bay Area,2388
761,G06000104403012,Bay Area,2128
762,G06000104403013,Bay Area,1649
763,G06000104403014,Bay Area,1431
764,G06000104403041,Bay Area,1291
765,G06000104403042,Bay Area,2355
766,G06000104403043,Bay Area,1389
767,G06000104403051,Bay Area,870
768,G06000104403052,Bay Area,1292
769,G06000104403053,Bay Area,2028
770,G06000104403061,Bay Area,2621
771,G06000104403062,Bay Area,1701
772,G06000104403071,Bay Area,2650
773,G06000104403072,Bay Area,1312
774,G06000104403073,Bay Area,786
775,G06000104403081,Bay Area,1748
776,G06000104403082,Bay Area,1154
777,G06000104403083,Bay Area,1547
778,G06000104403084,Bay Area,1722
779,G06000104403311,Bay Area,1963
780,G06000104403312,Bay Area,1313
781,G06000104403321,Bay Area,1665
782,G06000104403322,Bay Area,1840
783,G06000104403331,Bay Area,1600
784,G06000104403332,Bay Area,1382
785,G06000104403341,Bay Area,2309
