OID_,GISJOIN,REGION
621,G06000104338001,Bay Area
622,G06000104338002,Bay Area
623,G06000104338003,Bay Area
624,G06000104338004,Bay Area
625,G06000104339001,Bay Area
626,G06000104339002,Bay Area
627,G06000104339003,Bay Area
628,G06000104339004,Bay Area
629,G06000104340001,Bay Area
630,G06000104340002,Bay Area
631,G06000104340003,Bay Area
632,G06000104351021,Bay Area
633,G06000104351022,Bay Area
634,G06000104351031,Bay Area
635,G06000104351032,Bay Area
636,G06000104351033,Bay Area
637,G06000104351041,Bay Area
638,G06000104351042,Bay Area
639,G06000104351043,Bay Area
640,G06000104352001,Bay Area
641,G06000104352002,Bay Area
642,G06000104353001,Bay Area
643,G06000104353002,Bay Area
644,G06000104353003,Bay Area
645,G06000104354001,Bay Area
646,G06000104354002,Bay Area
647,G06000104354003,Bay Area
648,G06000104355001,Bay Area
649,G06000104355002,Bay Area
650,G06000104355003,Bay Area
651,G06000104356011,Bay Area
652,G06000104356012,Bay Area
653,G06000104356021,Bay Area
654,G06000104356022,Bay Area
655,G06000104356023,Bay Area
656,G06000104356024,Bay Area
657,G06000104357001,Bay Area
658,G06000104357002,Bay Area
659,G06000104357003,Bay Area
660,G06000104357004,Bay Area
661,G06000104358001,Bay Area
662,G06000104358002,Bay Area
663,G06000104358003,Bay Area
664,G06000104358004,Bay Area
665,G06000104359001,Bay Area
666,G06000104359002,Bay Area
667,G06000104359003,Bay Area
668,G06000104359004,Bay Area
669,G06000104360001,Bay Area
670,G06000104360002,Bay Area
671,G06000104360003,Bay Area
672,G06000104361001,Bay Area
673,G06000104361002,Bay Area
674,G06000104361003,Bay Area
675,G06000104362001,Bay Area
676,G06000104362002,Bay Area
677,G06000104363001,Bay Area
678,G06000104363002,Bay Area
679,G06000104363003,Bay Area
680,G06000104363004,Bay Area
681,G06000104364011,Bay Area
682,G06000104364012,Bay Area
683,G06000104364013,Bay Area
684,G06000104364014,Bay Area
685,G06000104364015,Bay Area
686,G06000104364021,Bay Area
687,G06000104364022,Bay Area
688,G06000104365001,Bay Area
689,G06000104365002,Bay Area
690,G06000104366011,Bay Area
691,G06000104366012,Bay Area
692,G06000104366013,Bay Area
693,G06000104366021,Bay Area
694,G06000104366022,Bay Area
695,G06000104367001,Bay Area
696,G06000104367002,Bay Area
697,G06000104368001,Bay Area
698,G06000104368002,Bay Area
699,G06000104369001,Bay Area
700,G06000104369002,Bay Area
701,G06000104369003,Bay Area
702,G06000104369004,Bay Area
703,G06000104370001,Bay Area
704,G06000104370002,Bay Area
705,G06000104370003,Bay Area
706,G06000104371011,Bay Area
707,G06000104371012,Bay Area
708,G06000104371013,Bay Area
709,G06000104371021,Bay Area
710,G06000104371022,Bay Area
711,G06000104371023,Bay Area
712,G06000104372001,Bay Area
713,G06000104372002,Bay Area
714,G06000104372003,Bay Area
715,G06000104372004,Bay Area
716,G06000104373001,Bay Area
717,G06000104373002,Bay Area
718,G06000104373003,Bay Area
719,G06000104374001,Bay Area
720,G06000104374002,Bay Area
721,G06000104375001,Bay Area
722,G06000104375002,Bay Area
723,G06000104376001,Bay Area
724,G06000104376002,Bay Area
725,G06000104377011,Bay Area
726,G06000104377012,Bay Area
727,G06000104377013,Bay Area
728,G06000104377021,Bay Area
729,G06000104377022,Bay Area
730,G06000104378001,Bay Area
731,G06000104378002,Bay Area
732,G06000104379001,Bay Area
733,G06000104379002,Bay Area
734,G06000104380001,Bay Area
735,G06000104380002,Bay Area
736,G06000104381001,Bay Area
737,G06000104381002,Bay Area
738,G06000104381003,Bay Area
739,G06000104381004,Bay Area
740,G06000104381005,Bay Area
741,G06000104381006,Bay Area
742,G06000104382011,Bay Area
743,G06000104382012,Bay Area
744,G06000104382013,Bay Area
745,G06000104382031,Bay Area
746,G06000104382032,Bay Area
747,G06000104382041,Bay Area
748,G06000104382042,Bay Area
749,G06000104382043,Bay Area
750,G06000104383001,Bay Area
751,G06000104383002,Bay Area
752,G06000104383003,Bay Area
753,G06000104384001,Bay Area
754,G06000104384002,Bay Area
755,G06000104401001,Bay Area
756,G06000104402001,Bay Area
757,G06000104402002,Bay Area
758,G06000104402003,Bay Area
759,G06000104402004,Bay Area
760,G06000104403011,Bay Area
761,G06000104403012,Bay Area
762,G06000104403013,Bay Area
763,G06000104403014,Bay Area
764,G06000104403041,Bay Area
765,G06000104403042,Bay Area
766,G06000104403043,Bay Area
767,G06000104403051,Bay Area
768,G06000104403052,Bay Area
769,G06000104403053,Bay Area
770,G06000104403061,Bay Area
771,G06000104403062,Bay Area
772,G06000104403071,Bay Area
773,G06000104403072,Bay Area
774,G06000104403073,Bay Area
775,G06000104403081,Bay Area
776,G06000104403082,Bay Area
777,G06000104403083,Bay Area
778,G06000104403084,Bay Area
779,G06000104403311,Bay Area
780,G06000104403312,Bay Area
781,G06000104403321,Bay Area
782,G06000104403322,Bay Area
783,G06000104403331,Bay Area
784,G06000104403332,Bay Area
785,G06000104403341,Bay Area
786,G06000104403342,Bay Area
787,G06000104403351,Bay Area
788,G06000104403352,Bay Area
789,G06000104403361,Bay Area
790,G06000104403362,Bay Area
791,G06000104411001,Bay Area
792,G06000104411002,Bay Area
793,G06000104412001,Bay Area
794,G06000104412002,Bay Area
795,G06000104412003,Bay Area
796,G06000104413011,Bay Area
797,G06000104413012,Bay Area
798,G06000104413021,Bay Area
799,G06000104413022,Bay Area
800,G06000104413023,Bay Area
801,G06000104413024,Bay Area
802,G06000104414011,Bay Area
803,G06000104414012,Bay Area
804,G06000104414013,Bay Area
805,G06000104414014,Bay Area
806,G06000104414021,Bay Area
807,G06000104414022,Bay Area
808,G06000104414023,Bay Area
809,G06000104415011,Bay Area
810,G06000104415012,Bay Area
811,G06000104415031,Bay Area
812,G06000104415032,Bay Area
813,G06000104415211,Bay Area
814,G06000104415212,Bay Area
815,G06000104415213,Bay Area
816,G06000104415214,Bay Area
817,G06000104415221,Bay Area
818,G06000104415222,Bay Area
819,G06000104415223,Bay Area
820,G06000104415231,Bay Area
821,G06000104415232,Bay Area
822,G06000104415233,Bay Area
823,G06000104415241,Bay Area
824,G06000104415242,Bay Area
825,G06000104416011,Bay Area
826,G06000104416012,Bay Area
827,G06000104416013,Bay Area
828,G06000104416021,Bay Area
829,G06000104416022,Bay Area
830,G06000104416023,Bay Area
831,G06000104416024,Bay Area
832,G06000104417001,Bay Area
833,G06000104417002,Bay Area
834,G06000104417003,Bay Area
835,G06000104417004,Bay Area
836,G06000104418001,Bay Area
837,G06000104418002,Bay Area
838,G06000104418003,Bay Area
839,G06000104418004,Bay Area
840,G06000104419211,Bay Area
841,G06000104419212,Bay Area
842,G06000104419231,Bay Area
843,G06000104419232,Bay Area
844,G06000104419233,Bay Area
845,G06000104419241,Bay Area
846,G06000104419242,Bay Area
847,G06000104419243,Bay Area
848,G06000104419244,Bay Area
849,G06000104419251,Bay Area
850,G06000104419252,Bay Area
851,G06000104419261,Bay Area
852,G06000104419262,Bay Area
853,G06000104419271,Bay Area
854,G06000104419272,Bay Area
855,G06000104420001,Bay Area
856,G06000104420002,Bay Area
857,G06000104421001,Bay Area
858,G06000104421002,Bay Area
859,G06000104422001,Bay Area
860,G06000104422002,Bay Area
861,G06000104422003,Bay Area
862,G06000104422004,Bay Area
863,G06000104423011,Bay Area
864,G06000104423012,Bay Area
865,G06000104423013,Bay Area
866,G06000104423021,Bay Area
867,G06000104423022,Bay Area
868,G06000104423023,Bay Area
869,G06000104424001,Bay Area
870,G06000104424002,Bay Area
871,G06000104424003,Bay Area
872,G06000104424004,Bay Area
873,G06000104425001,Bay Area
874,G06000104425002,Bay Area
875,G06000104425003,Bay Area
876,G06000104425004,Bay Area
877,G06000104426011,Bay Area
878,G06000104426012,Bay Area
879,G06000104426021,Bay Area
880,G06000104426022,Bay Area
881,G06000104427001,Bay Area
882,G06000104427002,Bay Area
883,G06000104427003,Bay Area
884,G06000104428001,Bay Area
885,G06000104429001,Bay Area
886,G06000104429002,Bay Area
887,G06000104429003,Bay Area
888,G06000104429004,Bay Area
889,G06000104430011,Bay Area
890,G06000104430021,Bay Area
891,G06000104430022,Bay Area
892,G06000104430023,Bay Area
893,G06000104431021,Bay Area
894,G06000104431022,Bay Area
895,G06000104431023,Bay Area
896,G06000104431024,Bay Area
897,G06000104431031,Bay Area
898,G06000104431032,Bay Area
899,G06000104431041,Bay Area
900,G06000104431042,Bay Area
901,G06000104431043,Bay Area
902,G06000104431051,Bay Area
903,G06000104431052,Bay Area
904,G06000104432001,Bay Area
905,G06000104432002,Bay Area
906,G06000104433011,Bay Area
907,G06000104433012,Bay Area
908,G06000104433211,Bay Area
909,G06000104433212,Bay Area
910,G06000104433221,Bay Area
911,G06000104433222,Bay Area
912,G06000104441001,Bay Area
913,G06000104441002,Bay Area
914,G06000104441003,Bay Area
915,G06000104441004,Bay Area
916,G06000104442001,Bay Area
917,G06000104442002,Bay Area
918,G06000104442003,Bay Area
919,G06000104443011,Bay Area
920,G06000104443012,Bay Area
921,G06000104443021,Bay Area
922,G06000104443022,Bay Area
923,G06000104444001,Bay Area
924,G06000104444002,Bay Area
925,G06000104444003,Bay Area
926,G06000104445001,Bay Area
927,G06000104445002,Bay Area
928,G06000104445003,Bay Area
929,G06000104445004,Bay Area
