,GISJOIN,BLOCKGROUPPOP19,BLOCKGROUPHH19,PCT_LESSHS,PCT_UNEMP,PCT_RENT,PCT_LINGISO,PCT_POV,RATE_ASTH,RATE_LBW,RATE_CVD,SCORE_CI_TRACT,SCORE_PCTL_CI_TRACT,SCORE_POLLUT,SCORE_PCTL_POLLUT
16590,G06007300085071,1245,423,0.07195122,0.0,0.286052,0.03546099,0.1558233,32.1,5.47,7.73,25.15344241,49.07967726,6.181540979,71.91039203
16591,G06007300085072,1184,502,0.09475219,0.046242774566473986,0.6912351,0.1195219,0.1765203,32.1,5.47,7.73,25.15344241,49.07967726,6.181540979,71.91039203
16592,G06007300085073,1692,564,0.1684451,0.011242973141786383,0.7304965,0.1560284,0.2299054,32.1,5.47,7.73,25.15344241,49.07967726,6.181540979,71.91039203
16593,G06007300085074,1426,601,0.05673077,0.0,0.7620632,0.03327787,0.3113604,32.1,5.47,7.73,25.15344241,49.07967726,6.181540979,71.91039203
16594,G06007300085075,1084,351,0.0,0.055619930475086905,0.2250712,0.0,0.1217712,32.1,5.47,7.73,25.15344241,49.07967726,6.181540979,71.91039203
16595,G06007300085076,1181,422,0.2085816,0.053497942386831275,0.5331754,0.05687204,0.3751058,32.1,5.47,7.73,25.15344241,49.07967726,6.181540979,71.91039203
16596,G06007300085091,1756,434,0.1598695,0.03672316384180791,0.1705069,0.1820276,0.143508,48.37,4.73,8.53,21.56662476,41.22541604,4.759617822,40.23646546
16597,G06007300085092,1380,394,0.02862419,0.11685012701100762,0.1675127,0.0,0.0,48.37,4.73,8.53,21.56662476,41.22541604,4.759617822,40.23646546
16598,G06007300085093,421,160,0.01298701,0.0,0.56875,0.0,0.2186732,48.37,4.73,8.53,21.56662476,41.22541604,4.759617822,40.23646546
16599,G06007300085094,3176,1392,0.1104344,0.03329714078899747,0.545977,0.1860632,0.2770781,48.37,4.73,8.53,21.56662476,41.22541604,4.759617822,40.23646546
16600,G06007300085095,636,326,0.09939148,0.04059040590405904,0.4355828,0.05828221,0.02987421,48.37,4.73,8.53,21.56662476,41.22541604,4.759617822,40.23646546
16601,G06007300085101,1610,627,0.1408072,0.07548526240115025,0.5518341,0.0,0.4161491,48.37,4.8,8.53,25.58067933,50.03782148,5.110424547,48.11449907
16602,G06007300085102,2097,699,0.05330764,0.04618809126321647,0.0944206,0.0,0.2269909,48.37,4.8,8.53,25.58067933,50.03782148,5.110424547,48.11449907
16603,G06007300085103,1661,687,0.1409861,0.04519774011299435,0.6404658,0.05676856,0.3732691,48.37,4.8,8.53,25.58067933,50.03782148,5.110424547,48.11449907
16604,G06007300085104,1715,786,0.1250936,0.030199039121482498,0.673028,0.1526718,0.1930029,48.37,4.8,8.53,25.58067933,50.03782148,5.110424547,48.11449907
16605,G06007300085111,4989,2149,0.06238721,0.020657485561972458,0.6040019,0.06979991,0.1372032,44.53,5.38,8.96,27.18377853,53.4165406,6.66518108,81.53080274
16606,G06007300085121,844,263,0.0,0.0,0.2889734,0.05323194,0.2114695,32.84,3.28,6.27,9.393370503,11.38426626,4.678676855,38.38207841
16607,G06007300085122,1428,458,0.1013825,0.03336045565500407,0.2358079,0.0,0.0952381,32.84,3.28,6.27,9.393370503,11.38426626,4.678676855,38.38207841
16608,G06007300085123,2557,889,0.0414916,0.04902405810258738,0.1496063,0.01349831,0.1619085,32.84,3.28,6.27,9.393370503,11.38426626,4.678676855,38.38207841
16609,G06007300085131,1861,730,0.06434911,0.008507853403141362,0.2821918,0.01643836,0.09242343,48.37,3.12,8.53,9.697139001,12.21633888,3.505688714,15.15868077
16610,G06007300085132,967,374,0.02291105,0.10024449877750612,0.1657754,0.0,0.05791107,48.37,3.12,8.53,9.697139001,12.21633888,3.505688714,15.15868077
16611,G06007300086001,3001,988,0.114818,0.031914893617021274,0.3360324,0.07186235,0.170227,39.85,6.01,7.19,31.67887188,61.76248109,5.006830254,45.70006223
16612,G06007300086002,1830,381,0.4793864,0.04814522494080505,0.7060367,0.2834646,0.7606557,39.85,6.01,7.19,31.67887188,61.76248109,5.006830254,45.70006223
16613,G06007300086003,849,240,0.3970315,0.05855855855855856,0.625,0.1375,0.2756184,39.85,6.01,7.19,31.67887188,61.76248109,5.006830254,45.70006223
16614,G06007300086004,1698,449,0.5286935,0.11084905660377359,0.9755011,0.1737194,0.7290931,39.85,6.01,7.19,31.67887188,61.76248109,5.006830254,45.70006223
16615,G06007300087011,1513,489,0.07342995,0.03849443969204448,0.6666667,0.0204499,0.2122477,38.23,3.54,6.86,17.17860486,30.71104387,5.139177848,48.79900436
16616,G06007300087012,1679,744,0.04351852,0.02785923753665689,0.9314516,0.02284946,0.2675439,38.23,3.54,6.86,17.17860486,30.71104387,5.139177848,48.79900436
16617,G06007300087021,2256,572,0.1505986,0.020172910662824207,0.4475524,0.02097902,0.3548387,35.28,5.5,6.9,29.23026041,57.29954614,6.312983083,74.76042314999998
16618,G06007300087022,1622,651,0.09020218,0.03089080459770115,0.3701997,0.05376344,0.2515413,35.28,5.5,6.9,29.23026041,57.29954614,6.312983083,74.76042314999998
16619,G06007300087023,1442,567,0.1978836,0.09077380952380952,0.9594356,0.07231041,0.3821082,35.28,5.5,6.9,29.23026041,57.29954614,6.312983083,74.76042314999998
16620,G06007300088001,2441,591,0.3149284,0.05805439330543933,0.7089679,0.1996616,0.4916018,41.06,4.31,7.3,32.33994748,63.06101866,5.641121632,60.01244555
16621,G06007300088002,1391,420,0.2670509,0.0662847790507365,0.8809524,0.2952381,0.6448598,41.06,4.31,7.3,32.33994748,63.06101866,5.641121632,60.01244555
16622,G06007300088003,1096,376,0.2366071,0.053180396246089674,0.5106383,0.09042553,0.3379374,41.06,4.31,7.3,32.33994748,63.06101866,5.641121632,60.01244555
16623,G06007300088004,2289,581,0.2369863,0.06416464891041163,0.8141136,0.3975904,0.5259939,41.06,4.31,7.3,32.33994748,63.06101866,5.641121632,60.01244555
16624,G06007300089011,1430,394,0.123913,0.13636363636363635,0.7766497,0.1624365,0.5559441,28.98,7.26,5.28,25.46018777,49.7730711,5.166301398,49.45861854
16625,G06007300089012,594,205,0.1371571,0.08620689655172414,0.3121951,0.07804878,0.3838384,28.98,7.26,5.28,25.46018777,49.7730711,5.166301398,49.45861854
