route_id,direction_id,direction
AC:36,0,South
AC:604,0,West
AC:604,1,East
AC:605,0,West
AC:605,1,East
AC:606,0,West
AC:606,1,East
AC:607,1,North
AC:617,1,East
AC:617,0,West
AC:641,0,South
AC:641,1,North
AC:642,0,West
AC:646,1,East
AC:646,0,West
AC:648,0,West
AC:648,1,East
AC:649,1,East
AC:649,0,West
AC:650,0,West
AC:650,1,East
AC:663,1,North
AC:663,0,South
AC:667,1,East
AC:667,0,West
AC:669,0,West
AC:669,1,East
AC:671,0,West
AC:671,1,East
AC:672,0,West
AC:672,1,East
AC:675,0,West
AC:675,1,East
AC:28,0,South
AC:28,1,North
AC:652,0,West
AC:652,1,East
AC:653,1,North
AC:653,0,South
AC:654,0,West
AC:654,1,East
AC:676,0,West
AC:676,1,East
AC:655,0,West
AC:655,1,East
AC:657,1,East
AC:657,0,West
AC:658,0,South
AC:658,1,North
AC:660,0,West
AC:660,1,East
AC:662,1,East
AC:662,0,West
AC:677,0,West
AC:677,1,East
AC:680,0,West
AC:680,1,East
AC:681,0,West
AC:681,1,East
AC:682,1,East
AC:682,0,West
AC:684,0,West
AC:684,1,East
AC:687,1,East
AC:687,0,West
AC:688,0,South
AC:688,1,North
AC:696,1,East
AC:696,0,West
AC:703,1,West
AC:707,1,West
AC:71,1,North
AC:71,0,South
AC:79,1,North
AC:79,0,South
AC:96,0,West
AC:96,1,East
GF:LF,1,South
GF:LF,0,North
GF:TF,0,North
GF:TF,1,South
GF:SF,1,South
GF:SF,0,North
GF:AIF,1,South
GF:AIF,0,North
BA:Yellow-S,1,South
BA:Yellow-N,0,North
BA:Orange-N,0,North
BA:Orange-S,1,South
BA:Green-S,1,South
BA:Green-N,0,North
BA:Red-N,0,North
BA:Blue-S,1,South
BA:Blue-N,0,North
BA:Beige-N,0,North
BA:Beige-S,1,South
BA:Red-S,1,South
SO:30,1,West
SO:30,0,East
SO:62,0,North
SO:62,1,South
SO:10T,0,Loop
SO:26,0,East
SO:26,1,West
SO:28,0,Loop
SO:12T,0,Loop
SO:66,0,Loop
SO:34,1,West
SO:34,0,East
SO:14,0,Loop
SO:67,1,Loop
SO:67,0,Loop
SO:68,0,Loop
SO:24,0,Loop
SO:40,0,East
SO:40,1,West
SO:48,1,South
SO:48,0,North
SO:32,0,North
SO:32,1,South
SO:20,0,East
SO:20,1,West
SO:12,0,Loop
SO:10,0,Loop
SO:30X,1,West
SO:42,1,South
SO:42,0,North
SO:60,0,North
SO:60,1,South
SO:44,1,South
SO:44,0,North
SO:60X,1,South
SO:60X,0,North
SM:250,1,West
SM:250,0,East
SM:10,1,South
SM:10,0,North
SM:14,0,Clockwise
SM:18,1,South
SM:18,0,North
SM:12,0,North
SM:12,1,South
SM:19,1,South
SM:19,0,North
SM:24,0,East
SM:24,1,West
SM:25,1,West
SM:25,0,East
SM:28,1,South
SM:28,0,North
SM:29,1,West
SM:29,0,East
SM:30,0,North
SM:30,1,South
SM:46,1,South
SM:46,0,North
SM:35,0,East
SM:35,1,West
SM:37,1,West
SM:37,0,East
SM:40,0,East
SM:40,1,West
SM:41,0,East
SM:41,1,West
SM:42,0,East
SM:42,1,West
SM:49,0,East
SM:49,1,West
SM:50,1,West
SM:51,1,West
SM:51,0,East
SM:53,1,West
SM:53,0,East
SM:54,0,East
SM:54,1,West
SM:53P,1,West
SM:53P,0,East
SM:56,0,East
SM:56,1,West
SM:57,1,West
SM:57,0,East
SM:58,1,West
SM:58,0,East
SM:59,1,West
SM:59,0,East
SM:60,1,West
SM:60,0,East
SM:61,1,South
SM:61,0,North
SM:62,1,South
SM:62,0,North
SM:67,1,West
SM:67,0,East
SM:68,0,East
SM:68,1,West
SM:72,0,East
SM:72,1,West
SM:130,1,South
SM:130,0,North
SM:141,1,West
SM:141,0,East
SM:260,0,East
SM:260,1,West
SM:270,1,Counterclockwise
SM:73,0,East
SM:73,1,West
SM:78,1,West
SM:78,0,East
SM:79,1,West
SM:79,0,East
SM:81,0,East
SM:81,1,West
