from_leg_group_id,to_leg_group_id,is_symmetrical,spanning_limit,transfer_id,transfer_sequence,duration_limit,duration_limit_type,fare_transfer_type,amount,min_amount,max_amount,currency,fare_product_id,fare_container_id,rider_category_id,eligible_cap_id,inactive
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:5:monthly,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:5:day,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:3:day,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:4:monthly,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:6:day,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:4:day,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:6:monthly,clipper,AC:discount,,
CT,AC:transbay,0,,,,7200,2,0,1.88,,,USD,CT:multizone:2:day,clipper,AC:discount,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:5:monthly,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:5:day,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:3:day,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:4:monthly,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:6:day,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:4:day,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:6:monthly,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:2:day,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:2:monthly,clipper,adult,,
CT,AC,0,,,,7200,2,0,0,,,USD,CT:multizone:3:monthly,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:2:day,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:2:monthly,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:3:monthly,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:5:monthly,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:5:day,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:3:day,clipper,adult,,
