,blockgroup,hub
366,G06000104026001,433769471
367,G06000104027001,286961510
368,G06000104027001,400277094
369,G06000104027001,433769471
370,G06000104027002,286961510
371,G06000104027002,400277094
372,G06000104027002,433769471
373,G06000104028001,286961510
374,G06000104028001,400277094
375,G06000104028001,433769471
376,G06000104028002,286961510
377,G06000104028002,400277094
378,G06000104028002,433769471
379,G06000104029001,400277094
380,G06000104029001,433769471
381,G06000104030001,400277094
382,G06000104030001,433769471
383,G06000104030002,400277094
384,G06000104030002,433769471
385,G06000104031001,400277094
386,G06000104031001,433769471
387,G06000104034001,400277094
388,G06000104034001,433769471
389,G06000104034002,400277094
390,G06000104034002,433769471
391,G06000104034003,400277094
392,G06000104034003,433769471
393,G06000104034004,400277094
394,G06000104034004,433769471
395,G06000104035011,286961510
396,G06000104035011,400277094
397,G06000104035011,433769471
398,G06000104035012,286961510
399,G06000104035012,400277094
400,G06000104035012,433769471
401,G06000104035012,479030247
402,G06000104035013,226852758
403,G06000104035013,286961510
404,G06000104035013,400277094
405,G06000104035013,433769471
406,G06000104035013,479030247
407,G06000104035021,286961510
408,G06000104035021,400277094
409,G06000104035021,433769471
410,G06000104035022,286961510
411,G06000104035022,400277094
412,G06000104035022,433769471
413,G06000104036001,400277094
414,G06000104036001,433769471
415,G06000104036002,286961510
416,G06000104036002,400277094
417,G06000104036002,433769471
418,G06000104036003,400277094
419,G06000104036003,433769471
420,G06000104037011,286961510
421,G06000104037011,400277094
422,G06000104037011,433769471
423,G06000104037012,400277094
424,G06000104037012,433769471
425,G06000104037021,400277094
426,G06000104037021,433769471
427,G06000104037022,400277094
428,G06000104037022,433769471
429,G06000104038001,400277094
430,G06000104038001,433769471
431,G06000104038002,400277094
432,G06000104038002,433769471
433,G06000104038003,400277094
434,G06000104038003,433769471
435,G06000104038004,400277094
436,G06000104038004,433769471
437,G06000104039001,286961510
438,G06000104039001,400277094
439,G06000104039001,433769471
440,G06000104039002,286961510
441,G06000104039002,400277094
442,G06000104039002,433769471
443,G06000104039003,286961510
444,G06000104039003,400277094
445,G06000104039003,433769471
446,G06000104040001,286961510
447,G06000104040001,400277094
448,G06000104040001,433769471
449,G06000104040002,226852758
450,G06000104040002,286961510
451,G06000104040002,400277094
452,G06000104040002,433769471
453,G06000104040002,45303398
454,G06000104040002,479030247
455,G06000104041011,226852758
456,G06000104041011,286961510
457,G06000104041011,400277094
458,G06000104041011,433769471
459,G06000104041011,45303398
460,G06000104041011,45303399
461,G06000104041011,479030247
462,G06000104041012,226852758
463,G06000104041012,286961510
464,G06000104041012,400277094
465,G06000104041012,433769471
466,G06000104041012,45303398
467,G06000104041012,45303399
468,G06000104041012,479030247
469,G06000104041021,226852758
470,G06000104041021,286961510
471,G06000104041021,400277094
472,G06000104041021,433769471
473,G06000104041021,479030247
