,0
24638974,0.0
250909848,0.0
25207153,0.0
252221783,0.0
253057908,0.0
253279070,0.0
25338967,0.0
25338999,0.0
25340322,0.0
255496981,0.0
256029744,0.0
256072722,0.0
256096286,0.0
256106973,0.0
256444930,0.0
256451910,0.0
256465493,0.0
256484454,0.0
256487840,0.0
256487848,0.0
256497054,0.0
25655745,0.0
256720470,0.0
256720491,0.0
256731627,0.0
256733189,0.0
256857775,0.0
256859340,0.0
256940400,0.0
256984935,0.0
257014128,0.0
25759123,0.0
257972664,0.0
257981293,0.0
258152144,0.0
258633142,0.0
258633148,0.0
258640367,0.0
259018291,0.0
259256019,0.0
260033535,0.0
260152155,0.0
260183822,0.0
260194175,0.0
260286250,0.0
260319205,0.0
260340957,0.0
260345927,0.0
260349635,0.0
260353680,0.0
260491076,0.0
260519104,0.0
260520154,0.0
260523829,0.0
260524896,0.0
260876196,0.0
260895266,0.0
260925337,0.0
260946369,0.0
260991572,0.0
261103571,0.0
261113156,0.0
261114844,0.0
261126830,0.0
261126833,0.0
261303081,0.0
262574418,0.0
263003895,-0.0
263307599,1.0
263313197,0.0
265367795,0.0
266762279,0.0
267255362,0.0
267263053,0.0
267703434,0.0
268094933,0.0
268094934,0.0
268810770,0.0
268810822,0.0
269547527,0.0
269617341,0.0
269617922,0.0
269675700,0.0
269680194,0.0
269686934,0.0
26968878,0.0
269748796,0.0
269748797,0.0
270022105,0.0
270022107,0.0
270240088,0.0
270275471,0.0
270279264,-0.0
270578535,0.0
270892158,0.0
271403973,1.0
271674311,0.0
271674312,0.0
271674313,0.0
271674314,0.0
271675611,0.0
271963073,0.0
27203778,0.0
27203843,0.0
27203914,0.0
27204048,0.0
27204114,0.0
27204180,0.0
27204250,0.0
27204523,0.0
27209009,0.0
27209058,0.0
27209089,0.0
27209094,0.0
27209109,0.0
27209305,0.0
27209414,0.0
27209468,0.0
27225724,0.0
27226181,0.0
27226749,0.0
27227246,0.0
27227736,0.0
27232624,0.0
27232740,0.0
27232917,0.0
27233174,0.0
272486408,0.0
272571086,0.0
272693286,0.0
272813635,0.0
272813638,0.0
27293332,0.0
27293403,0.0
27293409,0.0
27293425,0.0
27293436,0.0
27293449,0.0
27293459,0.0
27293464,0.0
27293487,0.0
27293521,0.0
